id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/aaa/ezerai_tvenkiniai,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,EzerasTvenkinys,,,,,,2,,,Ežerai ir tvenkiniai,
,,,,,pavadinimas,string,,,,4,open,,Ežero/tvenkinio pavadinimas,
,,,,,registruota,date,D,,,4,open,,Kadastro objekto registravimo data,"Metai, mėnuo, diena, laikas"
,,,,,redaguota,date,D,,,4,open,,Kadastro objekto redagavimo data,"Metai, mėnuo, diena, laikas"
,,,,,koord,"geometry(point, 3346)",m,,,4,open,,Objekto centro koordinatė,"LKS-94 koordinačių sistemoje, metrais"
,,,,,pav_plotas,number,ha,,,4,open,,"Vandens paviršiaus plotas Lietuvos teritorijoje geografinis",
,,,,,kadastroid,string,,,,4,open,,Kadastro identifikavimo kodas,
,,,,,kategorija,integer,,,,4,open,,Objekto kategorijos pavadinimo kodas,
,,,,,,enum,,,1,,,,Upė,
,,,,,,,,,2,,,,Kanalas,
,,,,,,,,,3,,,,Natūralus ežeras,
,,,,,,,,,4,,,,Užtvenktas ežeras,
,,,,,,,,,5,,,,Tvenkinys,
,,,,,,,,,6,,,,Dirbtinis nepratekamas paviršinio vandens telkinys,
,,,,,,,,,7,,,,Tarpinis vandens telkinys,
,,,,,,,,,8,,,,Pakrantės vandens telkinys,
,,,,,,,,,9,,,,Teritorinis vandens telkinys,
,,,,,kvadrato_nr,integer,,,,4,open,,Ežero kvadrato numeris,"Kvadratas – Lietuvos ežerų schemoje, sudarytoje Respublikinio žemėtvarkos projektavimo instituto 1964 metais, išskirtas plotas ežero numeriui suteikti."
,,,,,nr_kvadrate,integer,,,,4,open,,Ežero numeris kvadrate,
,,,,,rusis,integer,,,,4,open,,Ežero rūšis,
,,,,,,enum,,,1,,,,Lašišinis,
,,,,,,,,,2,,,,Potencialiai lašišinis,
,,,,,,,,,3,,,,Karpinis,
,,,,,,,,,4,,,,Ešerinis,
,,,,,,,,,5,,,,Karosinis,
,,,,,,,,,6,,,,Karšinis,
,,,,,,,,,7,,,,Kuojinis,
,,,,,,,,,8,,,,Lydekinis,
,,,,,,,,,9,,,,Lyninis,
,,,,,,,,,10,,,,Seliavinis,
,,,,,,,,,11,,,,Sterkinis,
,,,,,,,,,12,,,,Stintinis,
,,,,,,,,,13,,,,Kitas,
,,,,,ilgis,number,km,,,4,open,,"Ežero, tvenkinio ilgis",
,,,,,plotis,number,km,,,4,open,,"Ežero, tvenkinio vidutinis plotis",
,,,,,linijos_ilgis,number,km,,,4,open,,Kranto linijos ilgis geografinis,
,,,,,ubr_kodas,string,,,,4,open,,"Upės pabaseinio arba baseino, kuriame yra vandens objektas, kodas",
,,,,,vyrupes_uid,string,,,,4,open,,Tiesioginės upės unikalus identifikatorius,
,,,,,kiti_duomenys,string,,,,2,open,,Kiti duomenys,
,,,,,shape,geometry(3346),,,,4,open,,Geometrinis primityvas,
