id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/aaa/ezeru_monitoringas,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,EzeruValstybinioMonitoringoDuomenys,,,,,,4,,,Aprašymas ežerų monitoringo duomenų,"Tyrimų apimtys, vykdytojai, tiriami parametrai patvirtinti Lietuvos Respublikos Vyriausybės 2018 m. spalio 3 d. nutarime Nr. 996 „Dėl Valstybinės aplinkos monitoringo 2018–2023 metų programos patvirtinimo“. Kasmet Aplinkos ministro įsakymu tvirtinami Valstybinės aplinkos monitoringo 2018-2023 metų programos uždavinių įgyvendinimo planai (https://aaa.lrv.lt/lt/veiklos-sritys/aplinkos-monitoringas/valstybine-aplinkos-monitoringo-programa). Kai kuriais atvejais tyrimai gali būti neatlikti dėl klimatinių sąlygų arba įrangos gedimų."
,,,,,regionas,string,,,,4,open,,Regionas,"Regionai: Alytaus, Kauno, Klaipėdos, Marijampolės, Panevėžio, Šiaulių, Utenos, Vilniaus"
,,,,,,comment,type,,"create(property: ""apskritis"", type: ""ref"", ref: ""/datasets/gov/rc/ar/apskritis/Apskritis"")",4,open,manifest:1263,,
,,,,,telkinio_pav,string,,,,4,open,,Vandens telkinio pavadinimas,
,,,,,m_vietos_kodas,string,,,,4,open,,Monitoringo vietos kodas,
,,,,,m_vietos_pav,string,,,,4,open,,Monitoringo vietos pavadinimas,
,,,,,koord,"geometry(point, 3346)",,,,4,open,,Monitoringo vietos korrdinatės (LKS),
,,,,,data,date,D,,,4,open,,Tyrimų data,
,,,,,vandens_temp,number,°C,,,4,open,,"Vandens temperatūra, °C",
,,,,,suspend_medziagos,string,,,,4,open,,"Suspenduotos (skendinčios) medžiagos, mg/l",
,,,,,sarmingumas,string,,,,4,open,,"Šarmingumas, mmol/l",
,,,,,deguonis_istirpes,number,mg/l,,,4,open,,"Deguonis ištirpęs, mg/l O2",
,,,,,ph,number,,,,4,open,,pH,
,,,,,skaidrumas,string,,,,4,open,,"Skaidrumas, m",
,,,,,elektr_laidis,number,µS/cm,,,4,open,,"Savitasis elektrinis laidis, mikroS/cm",
,,,,,biochem_deg_suvartojimas,string,,,,4,open,,"Biocheminis deguonies suvartojimas per 7 paras, mg/l O2",
,,,,,amonio_azotas,string,,,,4,open,,"Amonio azotas, mg/l N",
,,,,,nitritu_azotas,string,,,,4,open,,"Nitritų azotas, mg/l N",
,,,,,nitratu_azotas,string,,,,4,open,,"Nitratų azotas, mg/l N",
,,,,,azotas_mineralinis,number,mg/l,,,4,open,,"Azotas mineralinis, mg/l",
,,,,,azotas_bendras,number,mg/l,,,4,open,,"Azotas bendras, mg/l",
,,,,,fosfatu_fosforas,string,,,,4,open,,"Fosfatų fosforas, mg/l P",
,,,,,fosforas_bendras,string,,,,4,open,,"Fosforas bendras, mg/l",
,,,,,anglingumas,number,mg/l,,,4,open,,"Tirpinis organinis anglingumas, mg/l",
,,,,,chlorofilas_a,string,,,,4,open,,"Chlorofilas a, µg/l",
,,,,,kalcio_karbonatas,integer,mg/l,,,4,open,,"Kalcio karbonatas, mg/l CaCO3",
,,,,,gyvsidabris,string,,,,4,open,,"Gyvsidabris tirpus, µg/l",
,,,,,kadmis,string,,,,4,open,,"Kadmis tirpus, µg/l",
,,,,,nikelis,string,,,,4,open,,"Nikelis tirpus, µg/l",
,,,,,svinas,string,,,,4,open,,"Švinas tirpus, µg/l",
,,,,,varis,string,,,,4,open,,"Varis, µg/l",
,,,,,chromas,string,,,,4,open,,"Chromas, µg/l",
,,,,,vanadis,string,,,,4,open,,"Vanadis, µg/l",
,,,,,aliuminis,string,,,,4,open,,"Aliuminis, µg/l",
,,,,,alavas,string,,,,4,open,,"Alavas, µg/l",
,,,,,arsenas,string,,,,4,open,,"Arsenas, µg/l",
,,,,,cinkas,string,,,,4,open,,"Cinkas, µg/l",
,,,,,antracenas,string,,,,4,open,,"Antracenas, µg/l",
,,,,,fluorantenas,string,,,,4,open,,"Fluorantenas, µg/l",
,,,,,naftalenas,string,,,,4,open,,"Naftalenas, µg/l",
