id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/aaa/oro_tarsa,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,DtvDok,,,dok_id,,,4,,,"Dokumentai (metinės, mėnesinė ir kitaip apibrėžto laikotarpio ataskaitos)",
,,,,,dok_id,integer,,,,4,open,,,
,,,,,dok_laikotarpio_tipas,string,,dok_laikotarpio_tipas,,3,open,,"Laikotarpio, už kurį teikiamas dokumentas, tipas (pvz., už konkrečią datą, už mėnesį).",
,,,,,dok_atsisk_data_nuo,integer,,dok_atsisk_data_nuo,,2,open,,"Data, už kurią yra teikiamas dokumentas.",
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,dok_atsisk_data_iki,integer,,dok_atsisk_data_iki,,2,open,,"Data, už kurią yra teikiamas dokumentas.",
,,,,,,comment,type,,"update(type: ""date"", ref: ""Y"")",4,,spinta:213,,
,,,,,,,,,,,,,,
,,,,DtvAob,,,aob_id,,,4,,,"Atsiskaitantys objektai (ATASKAITINIS OBJEKTAS, ŪKIO SUBJEKTAS, ŪS VEIKLOS OBJEKTAS )",
,,,,,aob_id,integer,,,,4,open,,,
,,,,,aob_kodas,string,,aob_kodas,,2,open,,Ataskaitinio objekto kodas,
,,,,,aob_pavad,string,,aob_pavad,,2,open,,"Ataskaitinio objekto pavadinimas. Ūkio subjekto pagrindinės įmonės atveju nurodomas toks pat kaip JAR, o filialų atveju nurodomas rankiniu būdu",
,,,,,aob_panaikinta,string,,aob_panaikinta,,3,open,,Panaikinimo požymis,
,,,,,,,,,,,,,,
,,,,DtvIsm,,,ism_id,,,4,,,Teršalai iš Ūkinės Veiklos Objektų,
,,,,,ism_id,integer,,,,4,open,,,
,,,,,ism_mat_vnt,string,,ism_mat_vnt,,4,open,,Teršalo matavimo vienetai (Klasifikatorius),
,,,,,,enum,,,"""T""",,,,,Tonos
,,,,,,,,,"""M""",,,,,Kubiniai metrai
,,,,,ism_kiek_per_ats_met,number,,ism_kiek_per_ats_met,,4,open,,Per ataskaitinius metus į aplinkos orą patekęs teršalų kiekis,
,,,,,ism_kiek_per_pr_met,number,,ism_kiek_per_pr_met,,4,open,,Per praėjusius metus į aplinkos orą patekęs teršalų kiekis (išskaičiuojamas iš praeitų metų ataskaitos duomenų),
,,,,,,,,,,,,,,
,,,,DtvTrs,,,trs_id,,,4,,,Teršalai,
,,,,,trs_id,integer,,,,4,open,,,
,,,,,trs_kodas,integer,,trs_kodas,,3,open,,"Teršalo kodas, kuris skirsis nuotekų ir emisijų atveju, teršiančių medžiagų sąraše",
,,,,,trs_pavad,string,,trs_pavad,,3,open,,Teršalo pavadinimas,
,,,,,trs_grupe,string,,trs_grupe,,4,,,Teršalų grupavimas,
,,,,,,enum,,,"""V""",,,,,Teršalai išleidžiami į aplinką (vandenį)
,,,,,,,,,"""I""",,,,,Teršalai išleidžiami į žemę
,,,,,,,,,"""O""",,,,,Teršalai išmetami į aplinkos orą
,,,,,,,,,,,,,,
,,,,DtvMpr,,,mpr_id,,,4,,,Taršos Mažinimo Priemonė,
,,,,,mpr_id,integer,,,,4,open,,,
,,,,,mpr_pavad,string,,mpr_pavad,,4,open,,Visas vykdomos (ar jau įvykdytos) aplinkos oro taršos mažinimo priemonės pavadinimas,
,,,,,mpr_verte,number,,mpr_verte,,2,open,,Išlaidos skirtos taršos mažinimo priemonei vykdyti,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,mpr_ivykd_data,date,D,mpr_ivykd_data,,4,open,,Priemonės planuojama įvykdymo data,
,,,,,mpr_lesos_nuo_prad,number,,mpr_lesos_nuo_prad,,2,open,,Kiek skirta lėšų nuo priemonės vykdymo pradžios,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,mpr_lesos_ats_metais,number,,mpr_lesos_ats_metais,,3,open,,Kiek skirta lėšų priemonės vykdymui ataskaitiniais metais,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,mpr_ivykdyta,integer,%,mpr_ivykdyta,,4,open,,Priemonės įvykdymas procentais,
,,,,,,,,,,,,,,
,,,,DtvOvr,,,ovr_id,,,4,,,Oro inventorizacijos veiklos rūšys,
,,,,,ovr_id,integer,,,,4,open,,,
,,,,,ovr_kodas,string,,ovr_kodas,,3,open,,Veiklos rūšies kodas,
,,,,,ovr_pavad,string,,ovr_pavad,,3,open,,Veiklos rūšies pavadinimas,
,,,,,ovr_pavad_en,string,,ovr_pavad_en,,3,open,,Veiklos rūšies pavadinimas anglų kalba,
,,,,,,,,,,,,,,
,,,,DtvSnk,,,snk_id,,,4,,,Sunaudotas Kuras,
,,,,,snk_id,integer,,,,4,open,,,
,,,,,snk_pavad,string,,snk_pavad,,3,open,,"Sunaudoto kuro patikslintas pavadinimas, kai nurodyti kuro kodai 121, 224, 225, 314",
,,,,,snk_mat_vnt,string,,snk_mat_vnt,,4,open,,Sunaudoto kuro kiekio matavimo vienetai,
,,,,,,enum,,,"""T""",,,,,Tonos
,,,,,,,,,"""M""",,,,,Kubiniai metrai
,,,,,snk_kiekis,number,,snk_kiekis,,4,open,,"Sunaudoto kuro kiekis tonomis, jei naudojamas kietas arba skystas kuras, ir tūkst. m3, jei naudojamas dujinis kuras",
,,,,,snk_sieringumas,integer,%,snk_sieringumas,,4,open,,Sunaudoto kuro sieringumas procentais,
,,,,,snk_pelningumas,integer,%,snk_pelningumas,,4,open,,Sunaudoto kuro peleningumas procentais,
,,,,,,,,,,,,,,
,,,,DtvKur,,,kur_id,,,4,,,Kuro rūšys,
,,,,,kur_id,integer,,,,4,open,,,
,,,,,kur_kodas,string,,kur_kodas,,3,open,,Kuro rūšies kodas - trumpinys,
,,,,,kur_pavad,string,,kur_pavad,,3,open,,"Kuro rūšies pavadinimas (pvz., mediena)",
,,,,,,,,,,,,,,
,,,,DtvAsm,,,asm_id,,,4,,,Asmenys,
,,,,,asm_id,integer,,,,4,open,,,
,,,,,asm_imones_kodas,integer,,asm_imones_kodas,,2,open,,Įmonės kodas,
