id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/aad/ukio_subjektu_patikrinimai,,,,,,,,,,,,Ūkio subjektų metiniai patikrinimai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Patikrinimas,,,eil_nr,,,4,,,Ūkio subjekto metinis patikrinimas,
,,,,,eil_nr,integer,,,,4,open,,Eilės Nr.,
,,,,,metai,date,Y,,,4,open,,Patikrinimo metai,
,,,,,valdyba_dep,string,,,,4,open,,"Valdyba, departamentas",
,,,,,padalinys,string,,,,4,open,,Padalinys,
,,,,,akto_tipas,string,,,,3,open,,Akto dokumento tipas,
,,,,,dok_registruotas,date,D,,,4,open,,Dokumento registravimo data,
,,,,,planinis,boolean,,,,4,open,,Ar patikrinimas planinis,
,,,,,objekto_tipas,string,,,,4,open,,Objekto tipas,
,,,,,,enum,,,"""Ūkio subjektas""",,,,,
,,,,,,,,,"""Fizinis asmuo""",,,,,
,,,,,,,,,"""Teritorija""",,,,,
,,,,,,,,,"""Kita""",,,,,
,,,,,dalyvav_pareigunu,integer,U,,,4,open,,Patikrinimą atlikusių ar dalyvavusių pareigūnų skaičius,

,,,,,rusis,string,,,,4,open,,Patikrinimo rūšis,
,,,,,,enum,,,"""Išplėstinis""",,,,,
,,,,,,,,,"""Teminis""",,,,,
,,,,,,,,,"""Bendras""",,,,,
,,,,,tikrinta_veikla,string,,,,3,open,,Tikrinta ūkinė veikla,
,,,,,tiksli_tikrinta_veikla,string,,,,2,open,,Patikslinta tikrinta ūkinė veikla,
,,,,,objekto_tipk_priedas,string,,,,4,open,,"Objektas turi TIPK I priedą, TL (TIPK II)",
,,,,,objekto_kiti_aplinkosaug_leidimai,string,,,,1,open,,Objektas turi kitus aplinkosauginius leidimus,Neprivaloma pildyti

,,,,,pazeidimai_pagal_ank,string,,,,2,open,,Pažeidimų straipsniai pagal ANK,

,,,,,skirta_adm_bauda,number,,,,2,open,,Skirta suma (administracinė bauda),Neprivaloma pildyti
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,aplinkosauginio_pazeidimo_grupe,string,,,,3,open,,Aplinkosauginio pažeidimo grupė,Neprivaloma pildyti
,,,,,nustatyti_mazareiksm_pazeidim,boolean,,,,4,open,,Nustatyti mažareikšmiai pažeidimai,
,,,,,duotas_zodin_nurodymas,boolean,,,,4,open,,Duotas žodinis nurodymas,
,,,,,surasyt_nurodym_pasal_pazeidim,boolean,,,,4,open,,Surašytas nurodymas pašalinti mažareikšmį pažeidimą,
,,,,,paskaiciuot_mokst_padidint_tarif,number,,,,2,open,,Paskaičiuotas mokestis padidintu tarifu,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,skirta_jur_bauda,number,,,,2,open,,Skirta suma (juridinė bauda),Neprivaloma pildyti
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,paskaiciuotos_zalos_tipas,string,,,,3,open,,Paskaičiuotos žalos tipas,Neprivaloma pildyti
,,,,,paimti_daiktai,string,,,,1,open,,Paimti daiktai,

,,,,,suteikta_konsultacija,boolean,,,,4,open,,Patikrinimo metu suteikta konsultacija,
,,,,,atvr,boolean,,,,4,open,,Atliekų tvarkytojų valstybės registras,
,,,,,entp,boolean,,,,4,open,,Eksploatuoti netinkamos transporto priemonės,
,,,,,gamintojai_importuotojai,string,,,,2,open,,"Gamintojai, importuotojai",
,,,,,ozona_ardancios_medziagos,boolean,,,,4,open,,Vykdyta ozoną ardančios medžiagų kontrolė,Nenaudoti
,,,,,nitratu_direktyva_tikrinta,string,,,,2,open,,Nitratų direktyva. Tikrinta sritis,
,,,,,nitratu_direktyva_nustatyti_pazeidimai,string,,,,2,open,,Nitratų direktyva. Nustatyti pažeidimai pagal sritis,
