id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/akmenes_r_sav,,,,,ns,,,,,,,Akmenės rajono savivaldybė,
,datasets/gov/akmenes_r_sav/korteles_panaudojimai,,,,,,,,,,,,Akmeniečio kortelės panaudojimai,Informacija apie Akmenės rajono savivaldybės išduotos Akmeniečio kortelės panaudojimus
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Panaudojimas,,,panaudojimo_id,,,4,,,Akmeniečio kortelės panaudojimai,Informacija apie Akmenės rajono savivaldybės išduotos Akmeniečio kortelės panaudojimus
,,,,,panaudojimo_id,string,,,,4,open,,Kortelės panaudojimo identifikatorius,
,,,,,panaudojimo_laikas,datetime,,,,4,open,,Kortelės panaudojimo laikas,
,,,,,suteikta_nuolaida,number,,,,4,open,,Suteikta nuolaida paslaugai panaudojus kortelę,
,,,,,naudotojo_asmens_kodas,string,,,,4,open,,Kortelės naudotojo asmens kodas,
,,,,,vda_kortele_panaikinta,boolean,,,,4,open,,Požymis ar Akmeniečio kortelė panaikinta,
,,,,,vda_ak_validacija,string,,,,4,open,,VDA asmens kodo validacija,
,,,,,,enum,,,"""Nenustatytas asmuo""",,,,,
,,,,,,,,,"""Fizinis asmuo""",,,,,
,,,,,,,,,"""Juridinis asmuo""",,,,,
,,,,,vardas_pavarde,string,,,,4,open,,Kortelės naudotojo vardas ir pavardė,
,,,,,naudotojo_lytis,string,,,,4,open,,Kortelės naudotojo lytis,
,,,,,,enum,,,"""Vyras""",,,,,
,,,,,,,,,"""Moteris""",,,,,
,,,,,naudotojo_grupe,string,,,,4,open,,Kortelės naudotojo grupė,
,,,,,,enum,,,"""Gyventojas""",,,,,
,,,,,,,,,"""Senjoras""",,,,,
,,,,,,,,,"""Vaikas""",,,,,
,,,,,vda_amziaus_grupe,string,,,,4,open,,VDA nustatyta kortelės naudotojo amžiaus grupė,
,,,,,qr_kodas,string,,,,4,open,,Naudotojo kortelės QR kodo numeris,
,,,,,imones_pavadinimas,string,,,,4,open,,Įmonės (arba teikiamos paslaugos) pavadinimas,
,,,,,imones_kodas,string,,,,4,open,,Įmonės (juridinio asmens) kodas,
,,,,,vda_jar_kodo_validacija,string,,,,4,open,,VDA juridinio asmens kodo validacija,
,,,,,,enum,,,"""Nenustatytas asmuo""",,,,,
,,,,,,,,,"""Fizinis asmuo""",,,,,
,,,,,,,,,"""Juridinis asmuo""",,,,,
