id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/asmlis/skolu_irasai,,,,,,,,,,,,Aptarnavimo ir atsiskaitymo už suteiktas paslaugas administravimo sistemos „Asmlis” ir „Mokesta” aptarnaujančios savivaldybes ir joms pavaldžias įstaigas vartotojų skolų įrašai.,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,TelsiuvIrasas,,,vda_prime_key,,,4,,,"Aptarnavimo ir atsiskaitymo už suteiktas paslaugas administravimo sistemos „Mokesta”  UAB ""Telšių vandenys"" vartotojų skolų įrašai.",
,,,,,vda_prime_key,string,,,,4,open,,Unikalus lentelės raktas,
,,,,,skolos_iraso_id,string,,,,4,open,,Skolos įrašo indetifikatorius,
,,,,,sutarties_id,string,,,,4,open,,Sutarties identifikatorius,
,,,,,skolos_suma,number,,,,4,open,,Skolos suma,
,,,,,ar_delsp_neskaic,boolean,,,,4,open,,Požymis ar neskaičiuojami delspinigiai,
,,,,,skol_iras_data,date,D,,,4,open,,Skolos įrašo data,
,,,,,bankroto_data,date,D,,,4,open,,Bankroto data,
,,,,,moketojo_kodas,string,,,,4,open,,Mokėtojo kodas,
,,,,,moketojo_tipas,string,,,,4,open,,Mokėtojo tipas,
,,,,,asmens_kodas,string,,,,4,open,,Asmens kodas,
,,,,,jar_kodas,string,,,,4,open,,Juridinio asmens kodas,
,,,,,kitas_kodas,string,,,,4,open,,Kodas nepraėjęs asmens kodo ir juridinio asmens kodo validacijų,
,,,,,ar_pvm_moketojas,boolean,,,,4,open,,Požymis ar PVM mokėtojas,
,,,,,sutart_isigal_data,date,D,,,4,open,,Sutarties sudarymo data,
,,,,,sutart_nutrauk_data,date,D,,,4,open,,Sutarties nutraukimo data,
,,,,,gimimo_metai,date,Y,,,4,open,,Skolininko gimimo metai,
