id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/asmlis/uzsakymai,,,,,,,,,,,,Atliekų tvarkymo užsakymų duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Uzsakymas,,,uzsakymo_id,,,4,,,Atliekų tvarkymo užsakymų duomenys,"Marijampolės apskrities atliekų tvarkymo centro naudojama „Atliekų surinkimo, monitoringo ir logistikos informacinė sistema“ (ASMLIS) skirta atliekų tvarkymo organizavimui ir atsiskaitymui už komunalinių atliekų surinkimo ir išvežimo paslaugas. Duomenys kaupiami nuo 2017 m. ir yra atnaujinami kasdien. Duomenų rinkinį sudaro pateikto paslaugos užsakymo identifikatorius, adresas, data, užsakytos paslaugos veiksmas, atliekų kodas, rūšis ir nurodytos vietovės apibūdinimas."
,,,,,uzsakymo_id,string,,,,4,open,,Identifikatorius,
,,,,,uzsakymo_adresas,string,,,,4,open,,Užsakymo vykdymo vietos adresas,
,,,,,uzsakytas_veiksmas,string,,,,3,open,,Užsakytos paslaugos veiksmas,
,,,,,,enum,,,,,,,,
,,,,,,,,Pakeisti,"""Pakeisti""",,,,Pakeisti nurodytą objektą,
,,,,,,,,Pastatyti,"""Pastatyti""",,,,Pastatyti naują objektą,
,,,,,,,,Ištuštinti,"""Ištuštinti""",,,,Ištuštinti nurodytą objektą,
,,,,,,,,Nuimti,"""Nuimti""",,,,Nuimti nurodytą objektą,
,,,,,uzsakymo_data,date,D,,,4,open,,Užsakymo gavimo data,
,,,,,atlieku_kodas,string,,,,4,open,,Pilnas tvarkytų atliekų kodas,
,,,,,atlieku_rusis,string,,,,4,open,,Tvarkytų atliekų rūšis,
,,,,,uzsakymo_vietos_rusis,string,,,,4,open,,Užsakymo vykdymo vietos apibūdinimas,
