id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ast/paskyru_registras,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,PajungimasAtjungimas,,,vda_prime_key,,,4,,,"Alytaus šilumos tinklų karšto vandens ir šildymo pajungimai, atjungimai","Rinkinyje pateikiamai UAB “Alytaus šilumos tinklai” paskyrų registro duomenys. Registre registruojamos paskyros, kurios pildomos šildymo ir/arba karšto vandens paslaugų pajungimui ir atjungimui objektuose, kurie tampa klientais, atsisako paslaugų, arba – dažniausias atvejis - pajungiamas/atjungiamas šildymas (šildymo sezono metu).
Viena eilutė atitinka vieną kontrolieriau vizitą į atitinkamą adresą.
Duomenys kaupiami nuo 2019 metų. ir iki dabar.
PASITEIRAVIMUI: Valstybės duomenų valdysenos atvėrimo komanda: atverimas@stat.gov.lt"
,,,,,vda_prime_key,string,,,,4,,,Identifikacinos numeris,
,,,,,regist_nr,string,,,,4,,,Darbo atlikimo registracijos numeris,
,,,,,data,date,D,,,4,,,Darbo atlikimo data,
,,,,,platuma_wgs,number,,,,4,,,Platumos koordinatė WGS84 koordinačių sistemoje,
,,,,,ilguma_wgs,number,,,,4,,,Ilgumos koordinatė WGS84 koordinačių sistemoje,
,,,,,vda_x_koord_lks,number,,,,4,,,X koordinatė LKS94 koordinačių sistemoje,
,,,,,vda_y_koord_lks,number,,,,4,,,Y koordinatė LKS94 koordinačių sistemoje,
,,,,,koord_patik_proc,number,,,,4,,,Koordinatės patikimumas procentais,
,,,,,adreso_tipas,string,,,,4,,,Koordinatės adreso tipas,
,,,,,,enum,,,"""Adresas (aktualus)""",,,,Adresas (aktualus),
,,,,,,,,,"""Gatvė""",,,,Gatvė,
,,,,,,,,,"""Gyvenvietė""",,,,Gyvenvietė,
,,,,,savivaldybe,string,,,,4,,,Savivaldybė iš koordinatės,
,,,,,pajungimas,string,,,,4,,,"Šilumos, karšto vandens pajungimas",
,,,,,,enum,,,"""šildymas""",,,,šildymas,
,,,,,,,,,"""karštas vanduo""",,,,karštas vanduo,
,,,,,,,,,"""karštas vanduo/šildymas""",,,,karštas vanduo/šildymas,
,,,,,atjungimas,string,,,,4,,,"Šilumos, karšto vandens atpajungimas",
,,,,,,enum,,,"""šildymas""",,,,šildymas,
,,,,,,,,,"""karštas vanduo""",,,,karštas vanduo,
,,,,,,,,,"""karštas vanduo/šildymas""",,,,karštas vanduo/šildymas,
,,,,,pastabos_lt,string,,,,2,,,"parašoma žodiais, atjungtas/ pajungtas šildymas arba pajungtas šildymas ir karštas vanduo",
,,,,,,comment,type,,"update(property: ""pastabos_lt@lt"", type: ""text"")	",,,spinta:204,,
,,,,,kontrolierius,string,,,,4,,,darbus atlikęs asmuo,
