id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/avnt/tyciniai_bankrotai,,,,,,,,,,,,Duomenys apie tyčinius bankrotus,
,,,,,,,,,,,,,,
,,,,TyciniaiBankrotai,,,,,,,,,Duomenys apie tyčinius bankrotus,
,,,,,eil_nr,integer,,,,4,open,,Eilės numeris,

,,,,,imones_kodas,string,,,,2,open,,Įmonės kodas,

,,,,,imones_pavadinimas,string,,,,2,open,,Įmonės pavadinimas,

,,,,,bankroto_pradzia,date,,,,3,open,,Bankroto proceso pradžios data,
,,,,,apygardos_teismas,string,,,,2,open,,Apygardos teismo pavadinimas,

,,,,,likvidavimo_data,date,,,,3,open,,Likvidavimo data,
,,,,,tycinis_bankrotas,date,,,,3,open,,Pripažinti bankrotą tyčiniu data,
,,,,,sprendimas_del_pabaigos,date,,,,3,open,,Sprendimo dėl pabaigos data,
,,,,,isregistravimo_data,date,,,,3,open,,Išregistravimo data,
