id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/bpc/pagalbos_ecall_iskvietimai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,EcallSkambutis,,,iraso_id,,,4,,,Tranporto priemonių pagalbos iškvietimo skambučių (eCall) duomenys,"Lentelėje pateikti pagalbos iškvietimų telefono numeriu 112 įvykių duomenys, kai automatiškai arba rankiniu būdu suaktyvinama transporto priemonėje įrengta sistema ir užmezgamas ryšys tarp transporto priemonės ir Bendrojo pagalbos centro. Duomenys atnaujinami kas mėnesį."
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,ivykio_id,string,,,,4,open,,Įvykio identifikatorius,
,,,,,ivykio_tipas,string,,,,4,open,,Įvykio tipas,
,,,,,aktyvavosi_automatiskai,boolean,,,,4,open,,"Požymis, ar pagalbos iškvietimo sistema aktyvavosi automatiškai",
,,,,,vin,string,,,,4,open,,Transporto priemonės identifikatorius,
,,,,,valst_numeriai,string,,,,4,open,,Valstybinis transporto priemonės numeris,
,,,,,marke,string,,,,4,open,,Transporto priemonės markė,
,,,,,modelis,string,,,,4,open,,Transporto priemonės modelis,
,,,,,spalva,string,,,,4,open,,Transporto priemonės spalva,
,,,,,kuras,string,,,,4,open,,Transporto priemonės naudojamas kuras,
,,,,,tp_tipas,string,,,,4,open,,Transporto priemonės tipas,
,,,,,iv_miestas,string,,,,4,open,,Įvykio mietas,
,,,,,iv_vieta,string,,,,4,open,,Įvykio vieta,
,,,,,iv_savivaldybe,string,,,,4,open,,Įvykio savivaldybė,
,,,,,iv_gatve,string,,,,4,open,,Įvykio gatvė,
,,,,,x_koord_lks,integer,,,,4,open,,Įvykio X koordinatė (pagal LKS-94 sistemą),
,,,,,y_koord_lks,integer,,,,4,open,,Įvykio Y koordinatė (pagal LKS-94 sistemą),
,,,,,koord_patikimos,boolean,,,,4,open,,"Požymis, ar koordinatės patikimos",
