id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/bpc/pagalbos_resursai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,IvykioResursas,,,iraso_id,,,4,,,Pagalbos resursų iškvietimų duomenys,Lentelėje pateikta informacija iš Bendrojo pagalbos centro (BPC) apie resursų (greitosios medicinos pagalbos ir priešgaisrinės gelbėjimo tarnybos) iškvietimus. Duomenys atnaujinami kas mėnesį.  
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,ivykio_id,string,,,,4,open,,Įvykio identifikatorius,
,,,,,resurso_id,string,,,,4,open,,Resurso identifikatorius,
,,,,,isvykimo_id,string,,,,4,open,,Resurso išvykimo identifikatorius,
,,,,,aukstesnis_ivykio_tipas,string,,,,4,open,,Aukštesnis įvykio tipas,
,,,,,zemesnis_ivykio_tipas,string,,,,4,open,,Žemesnis įvykio tipas,
,,,,,resurso_tipas_iskvietimo_metu,string,,,,4,open,,Resurso tipas pagalbos iškvietimo metu,
,,,,,resurso_grupe,string,,,,4,open,,Resurso grupė,
,,,,,baze_iskvietimo_metu,string,,,,4,open,,Resurso bazė iškvietimo metu,
,,,,,iskvietimo_pradzia,datetime,S,,,4,open,,Iškvietimo pradžia,
,,,,,rezervacijos_laikas,datetime,S,,,4,open,,Resurso rezervacijos laikas,
,,,,,isvykimo_laikas,datetime,S,,,4,open,,Pagalbos ekipažo (resurso) išvykimo laikas,
,,,,,atvykimo_laikas,datetime,S,,,4,open,,Pagalbos ekipažo (resurso) atvykimo į įvykio vietą laikas,
,,,,,uzbaigimo_laikas,datetime,S,,,4,open,,Pagalbos teikimo užbaigimo laikas,
,,,,,uzbaigimo_laikas_radiju,datetime,S,,,4,open,,Pagalbos teikimo užbaigimo radiju laikas,
,,,,,miestas,string,,,,4,open,,Įvykio miestas,
,,,,,vietove,string,,,,4,open,,Įvykio vietovė,
,,,,,savivaldybe,string,,,,4,open,,Įvykio savivaldybė,
,,,,,gatve,string,,,,4,open,,Įvykio gatvė,
,,,,,X_koord_lks,integer,,,,4,open,,Įvykio X koordinatė (pagal LKS-94 sistemą),
,,,,,Y_koord_lks,integer,,,,4,open,,Įvykio Y koordinatė (pagal LKS-94 sistemą),
,,,,,atsaukimo_priezastis,string,,,,4,open,,Resurso iškvietimo atšaukimo priežastis,
,,,,,statusas,string,,,,4,open,,Pagalbos suteikimo statusas,
,,,,,statuso_laikas,datetime,S,,,4,open,,Pagalbos suteikimo laikas,
