id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/datalab/ntr_pastatu_atributai,,,,,,,,,,,,NTR pastatų atributai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,BendrasPastatoAtributas,,,obj_id,,,4,,,Pastatų atributas,
,,,,,obj_id,string,,,,4,open,,Objekto ID,
,,,,,obj_kodas,string,,,,4,open,,Objekto kodas,
,,,,,pastato_panaudojimas,string,,,,4,open,,Pastato naudojimo paskirtis,
,,,,,obje_tipas,string,,,,4,open,,Objekto tipas,
,,,,,obje_pav,string,,,,4,open,,Objekto pavadinimas,
,,,,,sav_kodas,string,,,,4,open,,Savivaldybės kodas,
,,,,,sav_pav,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,sen_kodas,string,,,,4,open,,Seniūnijos kodas,
,,,,,sen_pav,string,,,,4,open,,Seniūnijos pavadinimas,
,,,,,gyv_id_pav,string,,,,4,open,,Gyvenvietės pavadinimas,
,,,,,aob_kodas,string,,,,4,open,,AOB kodas (adreso objektas),
,,,,,statinio_kategorija,string,,,,4,open,,Statinio kategorija,
,,,,,statybos_pradzios_metai,integer,,,,4,open,,Statybos pradžia,
,,,,,statybos_pabaigos_metai,integer,,,,4,open,,Statybos pabaiga,
,,,,,rekonstravimo_pabaigos_metai,integer,,,,4,open,,Rekonstrukcijos pabaiga,
,,,,,rekonstravimo_pradzios_metai,integer,,,,4,open,,Rekonstrukcijos pradžia,
,,,,,baigtumo_procentas,integer,,,,4,open,,Baigtumas (%),
,,,,,aukstu_skaicius,number,,,,4,open,,Aukštų skaičius,
,,,,,bendras_plotas,number,,,,4,open,,Bendras plotas (kv. m),
,,,,,gyvenamasis_plotas,number,,,,4,open,,Gyvenamasis plotas (kv. m),
,,,,,rusiu_pusrusiu_plotas,number,,,,4,open,,Rūsių/pusrūsių plotas (kv. m),
,,,,,verslo_plotas,number,,,,4,open,,Verslo plotas (kv. m),
,,,,,elektra,boolean,,,,4,open,,Ar yra elektra,
,,,,,vandentiekis,boolean,,,,4,open,,Ar yra vandentiekis,
,,,,,karstas_vanduo,boolean,,,,4,open,,Ar yra karštas vanduo,
,,,,,nuoteku_salinimas,boolean,,,,4,open,,Ar yra nuotekų šalinimas,
,,,,,sildymas,boolean,,,,4,open,,Šildymo tipas arba buvimas,
,,,,,dujos,boolean,,,,4,open,,Ar yra dujos,
,,,,,rusys,boolean,,,,4,open,,Ar yra rūsys,
,,,,,vedinimas_ir_kondicionavimas,boolean,,,,4,open,,Vėdinimas ir kondicionavimas,
,,,,,pastato_jo_dalies_energetinio_naudingumo_klase_new,string,,,,4,open,,Energetinio naudingumo klasė,
,,,,,energetinio_naudingumo_grupes,string,,,,4,open,,Energetinio naudingumo grupė,
,,,,,silumines_sanaudos_vienam_kv_m,number,,,,4,open,,Šilumos sąnaudos 1 kv. m,
,,,,,co2,number,,,,4,open,,CO2 emisijos,
,,,,,combined_energetinio_naudingumo_grupes_rf3_naujas,string,,,,4,open,,Energ. naudingumo grupė,
,,,,,combined_silumines_sanaudos_vienam_kv_m_round,number,,,,4,open,,Šilumos sąnaudos,
