id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/vda/lietuva,,,,,,,,,,,,Lietuva,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Lietuva,,,id,,,4,,,Lietuva,
,,,,,id,string,,,,4,open,,ID,
,,,,,asmens_numeris,string,,,,4,open,,Asmens numeris,
,,,,,amziaus_grupe,string,,,,4,open,,Amžiaus grupė,
,,,,,mokslo_metai,string,,,,4,open,,Mokslo metai,
,,,,,statistikos_busena,string,,,,4,open,,Statistikos būsena,
,,,,,statistikos_tipas,string,,,,4,open,,Statistikos tipas,
,,,,,duomenu_atnaujinimo_laikas,datetime,,,,4,open,,Duomenų atnaujinimo laikas,
,,,,,,,,,,,,,,
,,,,LietuvaDalykas,,,id,,,4,,,LietuvaDalykas,
,,,,,id,string,,,,4,open,,ID,
,,,,,statistikos_tipas,string,,,,4,open,,Statistikos tipas,
,,,,,asmens_numeris,string,,,,4,open,,Asmens numeris,
,,,,,amziaus_grupe,string,,,,4,open,,Amžiaus grupė,
,,,,,institucijos_id,string,,,,4,open,,Institucijos ID,
,,,,,institucijos_savivaldybes_kodas,string,,,,4,open,,Institucijos savivaldybės kodas,
,,,,,institucijos_sav_pav,string,,,,4,open,,Institucijos savivaldybės pavadinimas,
,,,,,pavadinimas,string,,,,4,open,,Pavadinimas,
,,,,,jar_kodas,string,,,,4,open,,JAR kodas,
,,,,,priklausomybe,string,,,,4,open,,Priklausomybė,
,,,,,tipas,string,,,,4,open,,Tipas,
,,,,,mokslo_metai,string,,,,4,open,,Mokslo metai,
,,,,,dalyko_pavadinimas_vda,string,,,,4,open,,Dalyko pavadinimas (VDA),
,,,,,istaigos_primary_key,string,,,,4,open,,Įstaigos primary key,
,,,,,grupe,string,,,,4,open,,Grupė,
,,,,,paskirties_grupe,string,,,,4,open,,Paskirties grupė,
,,,,,savivaldybes_kodas,string,,,,4,open,,Savivaldybės kodas,
,,,,,sav_pav,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,mokyklos_amziaus_mediana,integer,,,,4,open,,Mokyklos amžiaus mediana,
,,,,,duomenu_atnaujinimo_laikas,datetime,,,,4,open,,Duomenų atnaujinimo laikas,
,,,,,statistikos_busena,string,,,,4,open,,Statistikos būsena,
,,,,,,,,,,,,,,
,,,,Mokykla,,,id,,,4,,,Mokykla,
,,,,,id,string,,,,4,open,,ID,
,,,,,asmens_numeris,string,,,,4,open,,Asmens numeris,
,,,,,amziaus_grupe,string,,,,4,open,,Amžiaus grupė,
,,,,,institucijos_id,string,,,,4,open,,Institucijos ID,
,,,,,institucijos_savivaldybes_kodas,string,,,,4,open,,Institucijos savivaldybės kodas,
,,,,,institucijos_sav_pav,string,,,,4,open,,Institucijos savivaldybės pavadinimas,
,,,,,pavadinimas,string,,,,4,open,,Pavadinimas,
,,,,,jar_kodas,string,,,,4,open,,JAR kodas,
,,,,,priklausomybe,string,,,,4,open,,Priklausomybė,
,,,,,tipas,string,,,,4,open,,Tipas,
,,,,,mokslo_metai,string,,,,4,open,,Mokslo metai,
,,,,,istaigos_primary_key,string,,,,4,open,,Įstaigos primary key,
,,,,,grupe,string,,,,4,open,,Grupė,
,,,,,paskirties_grupe,string,,,,4,open,,Paskirties grupė,
,,,,,savivaldybes_kodas,string,,,,4,open,,Savivaldybės kodas,
,,,,,sav_pav,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,koordinates,string,,,,4,open,,Koordinatės,
,,,,,mokyklos_amziaus_mediana,integer,,,,4,open,,Mokyklos amžiaus mediana,
,,,,,duomenu_atnaujinimo_laikas,datetime,,,,4,open,,Duomenų atnaujinimo laikas,
,,,,,statistikos_busena,string,,,,4,open,,Statistikos būsena,
,,,,,,,,,,,,,,
,,,,MokyklaDalykas,,,id,,,4,,,MokyklaDalykas,
,,,,,id,string,,,,4,open,,ID,
,,,,,asmens_numeris,string,,,,4,open,,Asmens numeris,
,,,,,amziaus_grupe,string,,,,4,open,,Amžiaus grupė,
,,,,,institucijos_id,string,,,,4,open,,Institucijos ID,
,,,,,institucijos_savivaldybes_kodas,string,,,,4,open,,Institucijos savivaldybės kodas,
,,,,,institucijos_sav_pav,string,,,,4,open,,Institucijos savivaldybės pavadinimas,
,,,,,pavadinimas,string,,,,4,open,,Pavadinimas,
,,,,,jar_kodas,string,,,,4,open,,JAR kodas,
,,,,,priklausomybe,string,,,,4,open,,Priklausomybė,
,,,,,tipas,string,,,,4,open,,Tipas,
,,,,,mokslo_metai,string,,,,4,open,,Mokslo metai,
,,,,,dalyko_pavadinimas_vda,string,,,,4,open,,Dalyko pavadinimas (VDA),
,,,,,grupe,string,,,,4,open,,Grupė,
,,,,,paskirties_grupe,string,,,,4,open,,Paskirties grupė,
,,,,,savivaldybes_kodas,string,,,,4,open,,Savivaldybės kodas,
,,,,,sav_pav,string,,,,4,open,,Savivaldybės pavadinimas,
,,,,,mokyklos_amziaus_mediana,integer,,,,4,open,,Mokyklos amžiaus mediana,
,,,,,duomenu_atnaujinimo_laikas,datetime,,,,4,open,,Duomenų atnaujinimo laikas,
,,,,,statistikos_busena,string,,,,4,open,,Statistikos būsena,
,,,,,,,,,,,,,,
