id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/eso/,,,,,,,,,,,,Fizinių asmenų dujų suvartojimas,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,fiz_asm_duju_suvartojimas,,,iraso_id,,,4,,,Fizinių asmenų dujų suvartojimo duomenys,"Lentelėje pateikti Energijos skirstymo operatoriaus (ESO) fizinių asmenų dujų suvartojimo duomenys. Adresai pateikiami 1 kilometro dydžio stačiakampėmis gardelėmis Lietuvos koordinačių sistemoje (LKS-94). Gardelės, kuriose yra 5 arba mažiau vartotojų nerodomos. Duomenų laiko aprėptis - nuo 2019 m. sausio 1d."
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,vartotojo_kodas,string,,,,4,open,,Vartotojo kodas,
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,gimimo_metai,date,Y,,,4,open,,Gimimo metai,
,,,,,savivaldybe,string,,,,4,open,,Savivaldybė,
,,,,,grid_id,string,/datasets/gov/lsd/grid/Grid1KmSq,,,4,open,,Objekto stačiakampė 1km gardelė,
,,,,,obj_nr,string,,,,4,open,,Objekto numeris,
,,,,,objekto_tipas,string,,,,4,open,,Objekto tipas,
,,,,,sildymo_tipas,string,,,,4,open,,Šildymo tipas,
,,,,,naudingas_plotas,number,m^2,,,4,open,,"Naudingas plotas, m2",
,,,,,registruotu_asm_skaicius,string,,,,4,open,,Registruotų asmenų skaičius,
,,,,,energetine_klase,string,,,,4,open,,Energetinė klasė,
,,,,,apskaita_nuo,date,M,,,4,open,,Apskaitos laikotarpio pradžia,
,,,,,apskaita_iki,date,M,,,4,open,,Apskaitos laikotarpio pabaiga,
,,,,,suvartojimas,number,m^3,,,4,open,,"Suvartotas dujų kiekis, m3",
,,,,,prijungimo_data,date,D,,,4,open,,Dujų prijungimo data,
