id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/eso/fiz_asm_elektr_suvartojimas,,,,,,,,,,,,Fizinių asmenų elektros energijos suvartojimo duomenys,"Lentelėse pateikti Energijos skirstymo operatoriaus (ESO) fizinių asmenų elektros suvartojimo duomenys. Adresai pateikiami 1 kilometro dydžio stačiakampėmis gardelėmis Lietuvos koordinačių sistemoje (LKS-94). Elektros suvartojimo duomenys pateikiami mėnesio tikslumu. Realus suvartotas elektros kiekis gali skirtis nuo pateikiamų duomenų, tokiu atveju, kai vartotojas neteisingai deklaruoja suvartotą elektros kiekį arba turi įsirengęs saulės elektrinę. Duomenų laiko aprėptis - nuo 2019 m. sausio 1d."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,FizAsmInformacija,,,vda_asm_info_id,,,4,,,Fizinių asmenų ir objektų informacija,Lentelėse pateikti Energijos skirstymo operatoriaus (ESO) fizinių asmenų duomenys. Adresai pateikiami 1 kilometro dydžio stačiakampėmis gardelėmis Lietuvos koordinačių sistemoje (LKS-94). Duomenų laiko aprėptis - nuo 2019 m. sausio 1d. Lentelė su kita rinkinio lentele jungiasi per vda_asm_info_id stulpelį.
,,,,,vda_asm_info_id,string,,,,4,open,,Asmens informacijos įrašo identifikatorius,
,,,,,kliento_id,string,,,,4,open,,Kliento identifikatorius,
,,,,,objekto_id,string,,,,4,open,,Objekto identifikatorius,
,,,,,objekto_savivaldybe,string,,,,4,open,,"Savivaldybė, kurioje yra objektas",
,,,,,obj_adreso_gardele,ref,/datasets/gov/lsd/grid/Grid1KmSq,,,4,open,,Objekto adreso stačiakampė 1km gardelė,
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,gimimo_metai,date,Y,,,4,open,,Gimimo metai,
,,,,,obj_galioja_nuo,date,D,,,4,open,,Objektas galioja nuo,
,,,,,obj_galioja_iki,date,D,,,4,open,,Objektas galioja iki,
,,,,,sildymo_tipas,string,,,,4,open,,Šildymo tipas,
,,,,,naudingas_plotas_m2,number,m^2,,,4,open,,Naudingasis plotas kvadratiniais metrais,
,,,,,registruotu_asm_skaicius,integer,,,,4,open,,Registruotų asmenų skaičius,
,,,,,energetine_klase,string,,,,4,open,,Energetinė klasė,
,,,,,duomenis_pateike,string,,,,4,open,,Duomenų pateikėjas (inžinierius/klientas),
,,,,,kliento_savivaldybe,string,,,,4,open,,"Savivaldybė, kurioje gyvena klientas",
,,,,,kliento_adreso_gardele,ref,/datasets/gov/lsd/grid/Grid1KmSq,,,4,open,,Kliento adreso stačiakampė 1km gardelė,
,,,,,ngv,boolean,,,,4,open,,Nutolęs gaminantis vartotojas,
,,,,,automatizuota_apskaita,string,,,,4,open,,Automatizuota apskaita,
,,,,,el_pasto_adresas,string,,,,4,open,,Elektroninio pašto adresas,
,,,,,telefono_nr,string,,,,4,open,,Telefono numeris,
,,,,,obj_itampos_lygis,string,,,,4,open,,Objekto įtampos lygis,
,,,,,obj_itampa_kv,number,kV,,,4,open,,"Objekto įtampa, kilovoltais",
,,,,,leistina_galia_kw,number,kW,,,4,open,,"Leistina galia, kilovatvalandėmis",
,,,,,leistina_generuoti_galia,number,kW,,,4,open,,Leistina generuoti galia,
,,,,,instaliuota_generuoti_galia,number,kW,,,4,open,,Instaliuota generuoti galia,
,,,,,objekto_gamintojo_tipas,string,,,,4,open,,Objekto gamintojo tipas,
,,,,,,,,,,,,,,
,,,,FizAsmElektraSuvartojimas,,,iraso_id,,,4,,,Fizinių asmenų elektros energijos suvartojimas,"Lentelėse pateikti Energijos skirstymo operatoriaus (ESO) fizinių asmenų elektros suvartojimo duomenys. Elektros suvartojimo duomenys pateikiami mėnesio tikslumu. Realus suvartotas elektros kiekis gali skirtis nuo pateikiamų duomenų, tokiu atveju, kai vartotojas neteisingai deklaruoja suvartotą elektros kiekį arba turi įsirengęs saulės elektrinę. Duomenų laiko aprėptis - nuo 2019 m. sausio 1d. Lentelė su kita rinkinio lentele jungiasi per vda_asm_info_id stulpelį."
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,vda_asm_info_id,string,/datasets/gov/eso/fiz_asm_elektr_suvartojimas/FizAsmInformacija[vda_asm_info_id],,,4,open,,Asmens informacijos įrašo identifikatorius,
,,,,,apskaitos_men,date,M,,,4,open,,Apskaitos mėnesis,
,,,,,atgauta_kwh,number,,,,4,open,,Atgautas kilovatvalandžių skaičius,
,,,,,suvartota_kwh,number,,,,4,open,,Suvartotas kilovatvalandžių skaičius,
,,,,,bendras_suvartojimas_kwh,number,,,,4,open,,Bendras suvartojimas kilovatvalandėmis,
