id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/essc,,,,,,,,,,,,Ekstremalių sveikatai situacijų centras,
,datasets/gov/essc/aprupinimas_jodo_preparatais,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Aprupinimas,,,,,,4,,,Gyventojų aprūpinimas stabiliojo jodo preparatais pagal savivaldybes,
,,,,,id,string,,,,4,open,,Identifikatorius,
,,,,,savivaldybe,string,,,,3,open,,Savivaldybė,
,,,,,metai,integer,Y,,,4,open,,Metai,
,,,,,suaugusiuju_sk_bal,integer,,,,3,open,,Suaugusiųjų gyventojų skaičius savivaldybėje balandį,
,,,,,vaiku_sk_bal,integer,,,,3,open,,Vaikų iki 12 m. skaičius savivaldybėje balandį,
,,,,,isduota_tableciu_2020,integer,,,,3,open,,2020 metais išduotų kalio jodido tablečių skaičius Lietuvos savivaldybėms,
,,,,,isduota_rezervo_2022,integer,,,,3,open,,2022 m. Lietuvos savivaldybėms išduoti 5 proc. kalio jodido tablečių rezervo,
,,,,,gave_gyv_bal,integer,,,,3,open,,"Gyventojų skaičius, gavusių kalio jodido preparatus iki balandžio 1 d.",
,,,,,gave_gyv_proc_bal,number,%,,,4,open,,"Gyventojų skaičius, gavusių kalio jodido preparatus balandį, procentais",
,,,,,likutis_bal,integer,,,,3,open,,Kalio jodido preparatų likutis balandį skaičius,
,,,,,pastabos_bal,string,,,,1,open,,Pastabos,
,,,,,suaugusiuju_sk_sp,integer,,,,3,open,,Suaugusiųjų gyventojų skaičius savivaldybėje spalį,
,,,,,vaiku_sk_sp,integer,,,,3,open,,Vaikų iki 12 m. skaičius savivaldybėje spalį,
,,,,,gave_gyv_sp,integer,,,,3,open,,"Gyventojų skaičius, gavusių kalio jodido preparatus iki spalio 1 d.",
,,,,,gave_gyv_proc_sp,number,%,,,4,open,,"Gyventojų skaičius, gavusių kalio jodido preparatus spalį, procentais",
,,,,,likutis_sp,integer,,,,3,open,,Kalio jodido preparatų likučio spalį skaičius,
,,,,,pastabos_sp,string,,,,1,open,,Spalio mėnesio pastabos,
