id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/finmin/paraiskos,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Project,,,project_id,,,4,,,Projektas ir jo vertinimai,
,,,,,project_id,string,,,,4,open,,Projekto identifikatorius,
,,,,,call,ref,/datasets/gov/finmin/kvietimai/Call,,,4,open,,Projekto kvietimo/patvirtinto sąrašo identifikatorius,
,,,,,code,string,,,,4,open,,Projekto kodas,
,,,,,state,string,,,,3,open,,Projekto būsena,
,,,,,state_date,date,D,,,4,open,,Projekto būsenos įgijimo data,
,,,,,status,string,,,,3,open,,Projekto etapas,
,,,,,eligibility_result,boolean,,,,4,open,,Tinkamumo vertinimo rezultatas,
,,,,,eligibility_result_date,date,D,,,4,open,,Tinkamumo vertinimo rezultato data,
,,,,,eligibility_request_amount,number,,,,2,open,,Tinkamumo vertinimo prašomų lėšų suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,eligibility_expense_amount,number,,,,2,open,,Tinkamumo vertinimo netinkamų išlaidų suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,benefit_result,boolean,,,,4,open,,Naudos ir kokybės vertinimo rezultatas,
,,,,,benefit_result_date,date,D,,,4,open,,Naudos ir kokybės vertinimo rezultato data,
,,,,,benefit_score,number,,,,3,open,,Vertinimo metu suteiktų balų skaičius,
,,,,,decision_result,boolean,,,,4,open,,Sprendimo dėl finansavimo rezultatas,
,,,,,decision_result_date,date,D,,,4,open,,Sprendimo dėl finansavimo rezultato data,
,,,,,decision_eu_amount,number,,,,2,open,,Sprendimo dėl finansavimo ES fondų lėšų suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,decision_gf_amount,number,,,,2,open,,Sprendimo dėl finansavimo valstybės biudžeto lėšų suma,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,,,,,,,,,,
,,,,Application,,,project,,,4,,,Projekto paraiška,
,,,,,project,ref,Project,,,4,open,,Projekto identifikatorius,
,,,,,project_name,string,,,,4,open,,Projekto pavadinimas,
,,,,,receive_date,date,D,,,4,open,,Paraiškos gavimo data,
,,,,,applicant,string,,,,2,open,,Pareiškėjo pavadinimas,"Nerodomas, jei asmuo yra fizinis arba pavadinime yra fizinio asmens duomenų"
,,,,,applicant_code,string,,,,2,open,,Pareiškėjo JAR kodas,Užsienio pareiškėjams nurodyti analogiški kodai. Fiziniams asmenims vertės pašalintos
,,,,,subject_legal_form,string,,,,3,open,,Subjekto teisinė forma,
,,,,,description,string,,,,4,open,,Projekto santrauka,
,,,,,county,string,,,,2,open,,"Apskritis, kuriai tenka didžioji dalis projekto lėšų",
,,,,,municipality,string,,,,2,open,,"Savivaldybė, kuriai tenka didžioji dalis projekto lėšų",
,,,,,in_another_eu,boolean,,,,4,open,,Projektas ar jo dalis įgyvendinami kitoje ES valstybėje narėje (ne Lietuvos Respublikoje),
,,,,,outside_eu,boolean,,,,4,open,,Projektas ar jo dalis įgyvendinami už ES teritorijos ribų,
,,,,,duration,integer,mo,,,4,open,,Projekto įgyvendinimo trukmė (mėnesiais),
,,,,,principles,boolean,,,,4,open,,Projekto įgyvendinimo metu bus užtikrintas horizontaliųjų principų laikymasis,
,,,,,progress,string,,,,4,open,,Darnus vystymasis,
,,,,,gender_equality,string,,,,4,open,,Moterų ir vyrų lygybė ir (arba) nediskriminavimas,
,,,,,insert_date,datetime,L,,,4,open,,Paraiškos įregistravimo data,
,,,,,other_municipality,string,,,,2,open,,"Kita(-os) savivaldybė(-ės), kuriai(-ioms) tenka dalis projekto lėšų","Savivaldybės atskirtos kableliais, arba nurodyta ""Visos savivaldybės"""
,,,,,,comment,property,,"""update(property: """"other_municipality[]"""", type: """"array"""", source: """"Other_municipality"""")""",4,,spinta:356,,
,,,,,,,,,,,,,,
,,,,AppPartner,,,app_partner_id,,,4,,,Paraiškos partneriai,
,,,,,app_partner_id,string,,,,4,open,,Paraiškos partnerio identifikatorius,
,,,,,project,ref,Project,,,4,open,,Projekto identifikatorius,
,,,,,partner,string,,,,2,open,,Partnerio pavadinimas,"Nerodomas, jei asmuo yra fizinis arba pavadinime yra fizinio asmens duomenų"
,,,,,code,string,,,,2,open,,Partnerio JAR kodas,Užsienio partneriams nurodyti analogiškų užsienio registrų kodai
,,,,,city_district,string,,,,2,open,,Partnerio miestas / rajonas,
,,,,,legal_form,string,,,,3,open,,Partnerio teisinė forma,
,,,,,legal_status,string,,,,3,open,,Partnerio teisinis statusas,
,,,,,,,,,,,,,,
,,,,AppPurchase,,,app_purchase_id,,,4,,,Vykdomi ir iki paraiškos pateikimo įvykdyti pirkimai,
,,,,,app_purchase_id,string,,,,4,open,,Pirkimo identifikatorius,
,,,,,project,ref,Project,,,4,open,,Projekto identifikatorius,
,,,,,name,string,,,,1,open,,Pirkimo pavadinimas ir Nr,
,,,,,part,string,,,,1,open,,Pirkimo dalis,
,,,,,value,number,,,,2,open,,Pirkimo dalies vertė,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,info,string,,,,1,open,,Informacija apie pirkimą,
,,,,,,,,,,,,,,
,,,,AppIndicator,,,app_indicator_id,,,4,,,Paraiškos produkto ir rezultato stebėsenos rodikliai,
,,,,,app_indicator_id,string,,,,4,open,,Paraiškos rodiklio identifikatorius,
,,,,,project,ref,Project,,,4,open,,Projekto identifikatorius,
,,,,,measure_indicator,ref,/datasets/gov/finmin/kvietimai/MeasureIndicator,,,4,open,,Priemonės rodiklio identifikatorius,
,,,,,value,number,,,,4,open,,Rodiklio siektina reikšmė,
