id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/finmin/sis,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,Dokumentas,,,doc_id,,,4,,,"LentelÄ—je pateikti valstybÄ—s strategijÅ³, programÅ³ dokumentÅ³ duomenys iÅ Lietuvos Respublikos finansÅ³ ministerijos StebÄ—senos informacinÄ— sistema (SIS).",
,,,,,doc_id,string,,,,4,open,,Ä®raÅo identifikacinis numeris. Generuojamas seka DOC_SEQ.,
,,,,,dokumento_kodas,string,,,,4,open,,Dokumento struktÅ«ros identifikacinis numeris. Nuoroda ÄÆ DOC_STRUCTURES.DCS_ID.,
,,,,,dokumento_pavadinimas,string,,,,4,open,,Dokumento pavadinimas.,
,,,,,dokumento_tipas,string,,,,4,open,,DokumentÅ³ tipo pavadinimas.,
,,,,,versija,number,,,,4,open,,PaskutinÄ—s uÅ¾darytos dokumento versijos numeris.,
,,,,,proceso_etapas,string,,,,4,open,,,
,,,,,periodas_nuo,date,D,,,4,open,,Dokumento galiojimo laikotarpio pavadinimas.,
,,,,,periodas_iki,date,D,,,4,open,,PoÅ¾ymis, nusakantis, ar ataskaitinio laikotarpio pavadinimas yra ÄÆvestas GNS: 1 ā€“ ÄÆvestas, 0 ā€“ prieÅingu atveju.,
,,,,,institucijos_kodas,number,,,,4,open,,Unikalus institucijos kodas (pirminio Åaltinio kodas).,
,,,,,institucija,string,,,,4,open,,Institucijos pavadinimas.,
,,,,,,,,,,,,,,
,,,,Elementas,,,vda_id,,,4,,,"LentelÄ—je pateikti valstybÄ—s strategijÅ³, programÅ³ elementÅ³ hierarchijos duomenys iÅ Lietuvos Respublikos finansÅ³ ministerijos StebÄ—senos informacinÄ— sistema (SIS). ",
,,,,,vda_id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,doc_id,ref,Dokumentas,,4,open,,"Dokumento kodas, atvaizduojamas ataskaitose.",
,,,,,obj_id,string,,,,4,open,,Å½emesnio lygmens objektas (objektas-vaikas). Nuoroda ÄÆ OBJECTS.OBJ_ID.,
,,,,,tevinis_obj_id,string,,,,4,open,,AukÅtesnio lygmens objektas (objektas-tÄ—vas). NULL pirmame hierarchijos objektÅ³ lygyje. Nuoroda ÄÆ OBJECTS.OBJ_ID.,
,,,,,obj_code,string,,,,4,open,,"Objekto kodas, identifikuojantis ÄÆraÅÄ….",
,,,,,tipas,string,,,,4,open,,Elemento tipo pavadinimas vienaskaita.,
,,,,,klase,string,,,,4,open,,"PoÅ¾ymis, nusakantis objekto klasÄ™: Element - ÄÆprasti elementai, Criterion - kriterijai, Risk - rizikos, Job - darbai, Real estate - NT objektai, Folder - dokumento elementÅ³ aplankas, Indicator - rodikliai, Folder for indicators - rodikliÅ³ grupÄ— (aplankas), Scope - rodikliÅ³ analizÄ—s sritis.",
,,,,,eil_nr,string,,,,4,open,,"EilÄ—s numeris (objekto prioritetas, objekto atvaizdavimo hierarchijoje pozicija).",
,,,,,kodas,string,,,,4,open,,"Objekto kodas, atvaizduojamas ataskaitose. Kodas generuojamas automatiÅkai, atsiÅ¾velgiant ÄÆ kodo generavimo taisykles.",
,,,,,pavadinimas,string,,,,4,open,,Objekto pavadinimas (vystomos versijos).,
,,,,,aprasymas,string,,,,4,open,,"Vertinimo kriterijaus skaiÄ¨iavimo specifikacija. PaaiÅkinama, kas vertinimo kriterijumi vertinama, jeigu tai nÄ—ra akivaizdu iÅ kriterijaus formuluotÄ—s. Pateikiami vertinimo kriterijaus formuluotÄ—s specifiniÅ³ terminÅ³ apibrÄ—Å¾imai.",
,,,,,elemento_pradzia,date,D,,,4,open,,Dokumento elemento pradÅ¾ios data,
,,,,,elemento_pabaiga,date,D,,,4,open,,Dokumento elemento pabaigos data,
,,,,,periodas,string,,,,4,open,,PeriodiÅkumo pavadinimas.,
