id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/hi/kraujo_donacijos,,,,,,,,,,,,Kraujo donacijos,"""Rinkinyje pateikiami duomenys apie atliktas kraujo donacijas, kurie kaupiami Higienos instituto kraujo donorų registre. Duomenų rinkinį sudaro trys lentelės:
   1. Asmenų, pageidaujančių duoti kraujo arba kraujo komponentus, duomenys (atnaujinama kiekvieną dieną)
   2. Sėkmingi kraujo donacijos vizitai (atnaujinama kiekvieną dieną)
   3. Nesėkmingi kraujo donacijos vizitai (atnaujinama kiekvienų metų kovo 1 dieną)
   4. Mėnesinė kraujo donavimo vizitų statistika (atnaujinama kiekvieno mėnesio 15 dieną)

Duomenų teikėjas – Higienos institutas.
Duomenys kaupiami nuo 2012 m. balandžio 1 d.

Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."""
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,KraujoDonoras,,,donoro_id,,,4,,,"""Asmenų, pageidaujančių duoti kraujo arba kraujo komponentus, duomenys""","""Lentelėje pateikiami duomenys apie asmenis, kurie pageidauja duoti kraujo arba kraujo komponentų, surinkti Higienos instituto Kraujo donorų registro informacinėje sistemoje. Viena eilutė yra vienas asmuo su jam priskirtu donoro identifikaciniu numeriu (pasitaiko atvejų, kai žmogus turi kelis donoro identifikacinius numerius, todėl vieno donoro identifikacinio numerio negalime prilyginti vienam unikaliam asmeniui). Eilutėje nurodomas šifruotas donoro identifikacinis numeris, asmens kodas, asmens kodo validacijos įvertis, donuojančio asmens gimimo metai, lytis, pirmoji valstybė ir savivaldybė (jeigu Lietuvoje), kurioje asmuo registravo savo gyvenamąją vietą, kraujo grupė, eritrocitų antigenai Rh ir Kell bei asmens mirties metai. Paskutiniuose dviejuose stulpeliai nurodoma, kada įrašas buvo sukurtas ir atnaujintas duomenų bazėje. Asmenys, kurių asmens kodas nenurodytas, yra užsienio šalių gyventojai."""
,,,,,donoro_id,string,,,,4,open,,Kraujo donoro identifikacinis numeris,
,,,,,asmens_id,string,,,,4,open,,Asmens identifikacininis numeris,
,,,,,ak_validacija,string,,,,4,open,,Asmens kodo validacija,Valstybės duomenų agentūros sugeneruotas stulpelis validuojantis asmens kodą
,,,,,gim_metai,date,Y,,,4,open,,Gimimo metai,"""Asmens gimimo metai. Kuomet asmens kodas yra validus metai yra išraukiami iš asmens kodo, kitu atveju paliekami sistemoje įvesti gimimo metai"""
,,,,,lytis,string,,,,4,open,,Lytis,"""Asmens lytis. Kuomet asmens kodas yra validus lytis yra ištraukiama iš asmens kodo, kitu atveju paliekama sistemoje įvesta lytis"""
