id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/hi/mirtys,,,,,,,,,,,,"Nuolatinių Lietuvos gyventojų, mirusių Lietuvoje ar užsienyje, mirties atvejų ir jų priežasčių duomenys",
,,,,,,prefix,person,https://www.w3.org/ns/person#,,,,,,
,,,,,,,pii,https://data.gov.lt/pii/,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,NuolatinisGyventojas,,,m_id,,,4,,,Nuolatinių Lietuvos Respublikos gyventojų mirties atvejai ir jų priežastys,
,,,,,m_id,string,,,,4,open,"pii:id",Asmens sugalvotas identifikatorius,
,,,,,m_lytis,integer,,,,4,open,"pii:sex",Lytis,
,,,,,,enum,,,1,,,,Vyras,
,,,,,,,,,2,,,,Moteris,
,,,,,sav_kodas_regist,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,"person:residency","Savivaldybės kodas, kur registruotas miręs asmuo",
,,,,,m_am_mt,integer,yr,,,1,open,"pii:age",Mirusiojo amžius metais,
,,,,,m_am_mn,integer,mo,,,1,open,"pii:age",Mirusiojo amžius mėnesiais,
,,,,,m_am_dn,integer,d,,,1,open,"pii:age",Mirusiojo amžius dienomis,"Dienos pašalintos mirusiems asmenims, kurie yra vyresni nei metai"
,,,,,m_m_dt,string,,,,2,open,pii:date,Mirties data (mėnesiais),
,,,,,mirt_vieta_zyma,string,,,,4,open,"person:placeOfDeath",Mirties vietos žyma,
,,,,,,enum,,,'L',,,,Ligoninė,
,,,,,,,,,'N',,,,Namai,
,,,,,,,,,'K',,,,Kita,
,,,,,,,,,'Z',,,,Nežinoma,
,,,,,sav_kodas,ref,/datasets/gov/rc/ar/savivaldybe/Savivaldybe,,,4,open,"person:placeOfDeath",Mirties vietos savivaldybės kodas,
,,,,,tipo_santr,string,,,,4,open,"person:placeOfDeath",Mirties vietos gyvenvietės tipas,
,,,,,,enum,,,'m.',,,,Miestas,
,,,,,,,,,'k.',,,,Kaimas,
,,,,,,,,,'mstl.',,,,Miestelis,
,,,,,,,,,'vs.',,,,Viensėdis,
,,,,,,,,,'glž. st.',,,,Geležinkelio stotis,
,,,,,m_mv_v,string,,,,4,open,"person:countryOfDeath",Mirties vieta,Valstybės kodas mirusiems užsienyje
,,,,,gnmpd,integer,,,,4,open,,"Gydytojo nuomone, mirties rūšis ",
,,,,,,enum,,,1,,,,liga,
,,,,,,,,,2,,,,nelaimingas atsitikimas,
,,,,,,,,,3,,,,savižudybė,
,,,,,,,,,4,,,,nužudymas,
,,,,,,,,,5,,,,nenustatyta priežastis,
,,,,,,,,,6,,,,profesinė liga,
