id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/hi/traumos_apsinuodijimai,,,,,,,,,,,,"Stacionaro ir ambulatoriniai ligoniai, gydyti nuo traumų ir apsinuodijimų",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,TraumosAtvejis,,,vda_id,,,4,,,"Stacionaro ir ambulatoriniai ligoniai, gydyti nuo traumų ir apsinuodijimų",
,,,,,vda_id,string,,,,4,open,,Unikalus įrašo identifikatorius,
,,,,,atvejo_id,string,,,,4,open,,Unikalus gydymo atvejo identifikatorius,
,,,,,gydymas,string,,,,4,open,,"Nurodo, ar tai buvo ambulatorinė ar stacionarinė trauma",
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,amzius,string,,,,4,open,,Amžius,
,,,,,savivaldybe,string,,,,2,open,,Savivaldybė,
,,,,,gyvenviete,string,,,,4,open,,Gyvenamoji vietovė (miestas/kaimas),
,,,,,klinikine_trauma,string,,,,4,open,,"Traumų ir apsinuodijimų kodas pagal TLK-10-AM (S00-T98), nusakantys klinikinę traumą (sužalojimai, apsinuodijimai ir tam tikri išorinių poveikių padariniai).",
,,,,,aplinkybe,string,,,,4,open,,"Traumų ir apsinuodijimų kodas pagal TLK-10-AM kodus (V00-Y89), nusakantis traumos pobūdį/ketinimą.",
,,,,,veikla,string,,,,4,open,,"Traumos ir apsinuodijimo veiklos kodas pagal TLK-10-AM (U50-U73).",
,,,,,vieta,string,,,,4,open,,"Traumos ir apsinuodijimo vietos kodas pagal TLK-10-AM (Y92).",
,,,,,gyd_pradzia,date,D,,,4,open,,Gydymo lapo pradžios data,
,,,,,gyd_pabaiga,date,D,,,4,open,,Gydymo lapo pabaigos data,
,,,,,etapo_tipas,string,,,,4,open,,Gydymo tipas,
