id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/ird/vataras_vatis,,,,,,,,,,,,"Valstybės tarnautojų registras, Valstybės tarnybos valdymo informacinė sistema","Šių informacinių sistemų tikslas – vykdyti žmogiškųjų išteklių valdymo viešajame administravime, valstybės tarnybos valdymo sprendimų planavimo, Valstybės tarnybos įstatymo ir su juo susijusių teisės aktų įgyvendinimo kontrolės procedūras. Šios esybės (VATARAS ir VATIS) praktikoje yra laikomi viena sistema."
,,,,DarboSkelbimas,,,id,,,4,,,Aktualūs darbo skelbimai viešajame sektoriuje,"Valstybės tarnybos portale viešinami konkursai bei atrankos į valstybės ir savivaldybių institucijų bei įstaigų laisvas darbo pozicijas. Trys darbo skelbimų kategorijos: 1) Konkursų į karjeros valstybės tarnautojų pareigas skelbimai; 2) Atrankų į pakaitinių valstybės tarnautojų pareigas skelbimai; 3) Konkursų į darbuotojų, dirbančių pagal darbo sutartį, pareigas skelbimai. Pateikiami tik galiojantys (aktualūs) skelbimai. Lentelė atnaujinama kas dieną. Atlyginimo apskaičiavime naudojamas 2023 m. pareiginės algos bazinis dydis (nuo 2024 m. keisis skaičiavimo metodika). Detalesnę skelbimų informaciją galima surasti https://portalas.vtd.lt/, ieškant pagal skelbimo numerį. Duomenų šaltinis - VATIS ir VATARAS. Dėl techninių klausimų kreiptis į atverimas@stat.gov.lt."
,,,,,id,string,,,,4,open,,Unikalus skelbimo identifikatorius (techninėms reikmėms),
,,,,,galiojimo_pradzia,date,D,,,4,open,,Skelbimo galiojimo pradžia,Imtinai
,,,,,galiojimo_pabaiga,date,D,,,4,open,,Skelbimo galiojimo pabaiga,"Imtinai. Laikinai pateikiama apytikslė galiojimo pabaigos data (pvz., neatsižvelgianti į valstybines šventines dienas)"
,,,,,pozicijos_tipas,string,,,,4,open,,Darbo pozicijos tipas,
,,,,,,enum,,,'valstybės tarnautojas',,,,Valstybės tarnautojo pozicijos konkursas,
,,,,,,,,,'pagal darbo sutartį',,,,Skelbimas pagal darbo sutartį,
,,,,,,,,,'pakaitinis valstybės tarnautojas',,,,Pakaitinių valstybės tarnautojų atranka,
,,,,,pareigos,string,,,,4,open,,Pareigų aprašymas,"Nestruktūrizuotas tekstas, pateikiamas taip, kaip pateikė įstaiga"
,,,,,pa_koeficientas,number,U,,,4,open,,Numatytas pareiginės algos koeficientas,Tik valstybės tarnautojams ir pakaitiniams valstybės tarnautojams
,,,,,bruto,number,,,,2,open,,Apskaičiuotas atlyginimas prieš mokesčius,
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,open,spinta:40,,
,,,,,miestas,string,,,,2,open,,"Miestas, kuriame yra darbo vieta",
,,,,,istaiga,string,,,,2,open,,Skelbimą inicijavusios įstaigos pavadinimas,
,,,,,jar_kodas,string,,,,2,open,,Skelbimą inicijavusios įstaigos juridinių asmenų registro kodas,
,,,,,teisine_forma,string,,,,3,open,,Skelbimą inicijavusios įstaigos teisinė forma,
,,,,,organizatorius,string,,,,2,open,,Organizuojančios įstaigos pavadinimas,
,,,,,info_email,string,,,,4,open,,El. pašto adresas pasiteiravimui dėl skelbimo,
,,,,,numeris,string,,,,4,open,,"Unikalus skelbimo numeris (komunikacijai, paieškai)",
,,,,,adresas,url,,,,4,open,,Išsamaus skelbimo turinio URL adresas,Laikinai pateikiamas tik bendrasis Valstybės portalo adresas
,,,,,atnaujinimas,date,D,,,4,open,,Naujausio įrašo arba modifikacijos data gaunamuose duomenyse,Paruošiamas imant naujausio įrašo originaliuose duomenyse datą
,,,,,,,,,,,,,,
