id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/kaunas/kasimai,,,,,,,,,,,,Kauno miesto savivaldybės teikiami duomenys,Kauno mieste vykdomi kasimo darbai
,,,,,,prefix,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Kasimai,,,id,,,4,,,Kasimo darbai,
,,,,,id,integer,,,,4,open,,ID,
,,,,,pnr,integer,,,,4,open,,Prašymo nr,
,,,,,teikimo_data,date,,,,3,open,,Prašymo vykdyti kasimo darbus pateikimo data,
,,,,,darbai_pradzia,date,,,,3,open,,Kasimo darbų pradžios data,
,,,,,darbai_pabaiga,date,,,,3,open,,Kasimo darbų pabaigos data,
,,,,,adresas,string,,,,2,open,,Adresas ties kuriuo vykdomi kasimo darbai,
,,,,,gat_kodas,integer,,,,2,open,,Perkasamos gatvės ID,
,,,,,,comment,type,,"update(type: ""ref"", ref: ""/datasets/gov/rc/ar/gatve/Gatve"")",4,open,manifest:1277,,
,,,,,namas,string,,,,2,open,,"Namo nr gatvėje, ties kuriuo vykdomi kasimo darbai",
,,,,,adresas2,string,,,,2,open,,"Adresas iki kurio vykdomi kasimo darba, jei perkasama daugiau nei ties vienu adresui",
,,,,,gat_kodas2,integer,,,,2,open,,"Gatvės kodas, iki kurios vykdomi kasimo darbai, jei perkasama daugiau nei ties vienu adresu",
,,,,,,comment,type,,"update(type: ""ref"", ref: ""/datasets/gov/rc/ar/gatve/Gatve"")",4,open,manifest:1277,,
,,,,,namas2,string,,,,2,open,,"Namo nr, iki kurio vykdomi kasimo darbai, jei perkasama daugiau nei ties vienu adresu",
,,,,,darbu_tipas,string,,,,2,open,,Darbų tipas,
,,,,,dokumentas,string,,,,2,open,,Darbus leidžiantis dokumentas,
,,,,,pastabos,string,,,,4,open,,Pastabos,
,,,,,planuojami_drb,string,,,,4,open,,Planuojami darbai,
,,,,,danga,string,,,,2,open,,Perkasama danga,
,,,,,statinio_tipas,string,,,,2,open,,Statinio tipas,
,,,,,lnr,integer,,,,4,open,,Leidimo vykdyti kasimo darbus eil. nr,
,,,,,isdavimo_data,date,,,,3,open,,leidimo vykdyti kasimo darbus išdavimo data,
,,,,,galioja_nuo,date,,,,3,open,,leidimo vykdyti kasimo darbus galiojimo pradžios data,
,,,,,galioja_iki,date,,,,3,open,,leidimo vykdyti kasimo darbus galiojimo pabaigos data,
