id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description,
,datasets/gov/kauno_m_sav/ilgalaikis_nt_arch,,,,,,,,,,,,Kauno miesto nekilnojamo turto objektai,"Kauno miesto ""Nekilnojamojo ilgalaikio turto informacinė sistema"" skirta turto valdymui, naudojimui ir disponavimui administruoti. Archyviniai duomenys ir naujinami nebus.",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,,
,,,,,,,,,,,,,,,
,,,,NeklinojamoTurtoISArch,,,iraso_id,,,4,,,Kauno miesto nekilnojamo turto objektai,"Kauno miesto ""Nekilnojamojo ilgalaikio turto informacinė sistema"" skirta turto valdymui, naudojimui ir disponavimui administruoti. Archyviniai duomenys ir naujinami nebus.",
,,,,,obj_id,string,,,,4,open,,Identifikatorius,,
,,,,,objekto_pavadinimas,string,,,,4,open,,Objekto pavadinimas,,
,,,,,seniunija,string,,,,4,open,,Seniūnija,,
,,,,,gatve,string,,,,4,open,,Gatvė,,
,,,,,namo_nr,string,,,,4,open,,Namo numeris,,
,,,,,unikalusis_nr,string,,,,4,open,,Objekto unikalus numeris,,
,,,,,inventorinis_nr,string,,,,4,open,,Inventorinis numeris,,
,,,,,valdoma_dalis,string,,,,4,open,,Valdomos dalies duomenys,,
,,,,,valdomas_plotas,double,,,,4,open,,Valdomo ploto duomenys,,
,,,,,kategorija,string,,,,4,open,,Objekto kategorija,,
,,,,,savivinkas,string,,,,4,open,,Objekto savininkas,,
,,,,,turto_paskirtis,string,,,,4,open,,Nekilnojamojo turto paskirtis,,
,,,,,naudojimo_sritis,string,,,,4,open,,Objekto naudojimo sritis,,
,,,,,valdymo_forma,string,,,,4,open,,Objekto valdymo informacoja,,
,,,,,busena,string,,,,4,open,,Objekto būsena,,
,,,,,arhyvinis,string,,,,4,open,,Archyvinio objekto identifikatorius,,
,,,,,arch_data,date,D,,,4,open,,Objekto perkėlimo į archyvą data,,
,,,,,duomenu_atnaujinimas,date,D,,,4,open,,Duomenų atnaujinimo data (vda),,
