id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/kauno_m_sav/priemimo_i_mokyklas_prasymai,,,,,,,,,,,,Vaikų priėmimo į  Kauno miesto bendrojo ugdymo įstaigas prašymai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,PriemimoPrasymas,,,iraso_id,,,4,,,Vaikų priėmimo į  Kauno miesto bendrojo ugdymo įstaigas prašymai,Lentelėje pateikti duomenys apie Kauno miesto savivaldybės vaikų priėmimo į bendrojo ugdymo įstaigas prašymus. Duomenys paimti iš Kauno miesto savivaldybės Prašymų priimti į bendrojo ugdymo mokyklas pateikimo informacinės sistemos. Duomenys atnaujinami kas mėnesį.
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,prasymo_id,string,,,,4,open,,Prašymo identifikatorius,
,,,,,vaiko_ak,string,,,,4,open,,Vaiko asmens kodas,
,,,,,vaiko_ak_validacija,string,,,,4,open,,Vaiko asmens kodo validacija,
,,,,,vaiko_gim_metai_ak,date,Y,,,4,open,,Vaiko gimimo metai (gauti iš amens kodo),
,,,,,vaiko_lytis_ak,string,,,,4,open,,Vaiko lytis (gauta iš asmens kodo),
,,,,,,enum,,,"""Vyras""",,,,Vyras,
,,,,,,,,,"""Moteris""",,,,Moteris,
,,,,,tevo_ak,string,,,,4,open,,Vieno iš vaiko tėvų asmens kodas,
,,,,,tevo_ak_validacija,string,,,,4,open,,Vieno iš vaiko tėvų asmens kodo validacija,
,,,,,prasymo_inst_kodas,string,,,,4,open,,"Institucijos, į kurią prašoma priimti vaiką mokintis, juridinio asmens kodas",
,,,,,,comment,type,,"create(property: ""ja_kodas"", type: ""ref"", ref: ""datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo"")",4,open,"spinta:205,manifest:1290",,
,,,,,ins_pavad_lt,string,,,,4,open,,"Institucijos, į kurią prašoma priimti vaiką mokintis, pavadinimas",
,,,,,ins_tipas,string,,,,4,open,,"Institucijos, į kurią prašoma priimti vaiką mokintis, tipas (-ai)",
,,,,,prasymo_klase,string,,,,4,open,,"Klasė, į kurią prašoma priimti vaiką mokintis",
,,,,,prasymo_reg_laikas,datetime,S,,,4,open,,Prašymo registracijos laikas,
,,,,,prasymas_galioja_iki,date,D,,,4,open,,Prašymo galiojimo data,
,,,,,pirmumo_nr,string,,,,4,open,,Prašymui suteiktas pirmumo numeris,
,,,,,pirmumo_priezastis,string,,,,4,open,,Pirmumo priežastis,
,,,,,pirmumas_nuo,datetime,S,,,4,open,,"Laikas, nuo kada galioja pirmumas",
,,,,,pirmumas_iki,date,D,,,4,open,,"Laikas, iki kada galioja pirmumas",
