id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/kbu,,,,,,,,,,,,VšĮ Klaipėdos būstai,
,,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,bustai,,,vda_prime_key,,,4,,,"Klaipėdos miesto savivaldybės nuomojamų būstų registras","Rinkinys apie savivaldybės ir socialinio būsto nuomą Klaipėdos miesto savivaldybėje, kuriame pateikiama informacija apie būstų charakteristikas, nuomos sąlygas ir nuomininkus. Kiekvienos lentelės viena eilutė atitinką vieną sudarytą nuomos sutartį Klaipėdos miesto savivaldybėje. Duomenų teikėjas: VšĮ Klaipėdos butai. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt."
,,,,,vda_prime_key,string,,,,4,open,,Identifikatorius,
,,,,,ntr_kodas,string,,,,4,open,,NT registro kodas,
,,,,,busto_tipas,string,,,,4,open,,Būsto tipas,
,,,,,busto_busena,string,,,,4,open,,Būsto užimtumas,
,,,,,busto_plotas,number,,,,4,open,,Busto plotas,
,,,,,kambariu_skaicius,integer,,,,4,open,,Kambarių sakaičius,
,,,,,men_nuomos_suma,number,,,,4,open,,Mėnsenio įmokos suma,
,,,,,sutarties_data,date,D,,,4,open,,Nuomos sutarties sudarymo data,
,,,,,nuoma_nuo,date,D,,,4,open,,Nuomos sutarties pradžios data,
,,,,,nuoma_iki,date,D,,,4,open,,Nuomos sutarties pabaigos data,
,,,,,vardas_pavarde,string,,,,4,open,,Vardas ir pavardė,
,,,,,asmens_kodas,string,,,,4,open,,Asmens kodas,
,,,,,ak_validacija,string,,,,4,open,,Asmens kodo validacija,
,,,,,gimimo_desimtmetis,integer,,,,4,open,,"Asmens gimimo metai, suapvalinti į dešimtmetį",
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,busto_adresas,string,,,,4,open,,Būsto adresas,
,,,,,platuma_wgs,number,,,,4,open,,Platumos koordinatė WGS84 koordinačių sistemoje,
,,,,,ilguma_wgs,number,,,,4,open,,Ilgumos koordinatė WGS84 koordinačių sistemoje,
,,,,,geometrija,string,,,,4,open,,Geometrija,
