id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/klaipedos_m_sav/atrankos_platforma_dalyvauk,,,,,,,,,,,,"Gyventojų investicinių projektų atrankos platformos ""Dalyvauk"" duomenys",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Apsilankymas,,,id,,,4,,,"Gyventojų investicinių projektų atrankos platformos ""Dalyvauk"" puslapio apsilankymai.","IS sukurta siekiant bendradarbiauti ir bendrauti tarp miesto savivaldybės ir Klaipėdos miesto piliečių. Klaipėdos miesto gyventojai naudojantis šia IS teikia idėjas ir iniciatyvas dėl viešos infrastruktūros gerinimo Klaipėdos mieste. Taip pat dalyvauja balsavime renkant patraukliausias iniciatyvas. Susipažinti su gyventojų pateiktomis iniciatyvomis galima interneto svetainėje https://dalyvauk.klaipeda.lt/. Miesto savivaldybė turi galimybę IS pagalba sisteminti, valdyti ir analizuoti siūlomų iniciatyvų duomenis."
,,,,,id,string,,,,4,open,,Identifikavimo kodas,
,,,,,lankytojo_id,string,,,,4,open,,Lankytojo identifikatorius,
,,,,,ip_adresas,string,,,,4,open,,IP adresas,
,,,,,narsykle_en,string,,,,4,open,,Naršyklė,
,,,,,,comment,type,,"update(property: ""narsykle_en@en"", type: ""text"")",4,open,spinta:204,,
,,,,,operacine_sistema_en,string,,,,4,open,,Operacinė sistema,
,,,,,,comment,type,,"update(property: ""operacine_sistema_en@en"", type: ""text"")",4,open,spinta:204,,
,,,,,irenginio_tipas_en,string,,,,4,open,,Įrenginio tipas,
,,,,,,comment,type,,"update(property: ""irenginio_tipas_en@en"", type: ""text"")",4,open,spinta:204,,
,,,,,pradeta,datetime,L,,,4,open,,Puslapio apsilankymo laikas,
,,,,,tiketinas_salies_kodas_en,string,,,,4,open,,Tikėtinas šalies kodas,"Pagal IP adresą nustatyta šalis, naudojant trečiosios šalies IP adresų lokacijų duomenų bazę. Tikslumas yra ribotas."
,,,,,,comment,type,,"update(property: ""tiketinas_salies_kodas_en@en"", type: ""text"")",4,open,spinta:204,,
,,,,,tiketina_savivaldybe_en,string,,,,4,open,,Tikėtina savivaldybė,"Pagal IP adresą nustatyta savivaldybė, naudojant trečiosios šalies IP adresų lokacijų duomenų bazę.  Tikslumas yra ribotas."
,,,,,,comment,type,,"update(property: ""tiketina_savivaldybe_en@en"", type: ""text"")",4,open,spinta:204,,
,,,,,tiketinas_miestas_en,string,,,,4,open,,Tikėtinas miestas,"Pagal IP adresą nustatytas miestas, naudojant trečiosios šalies IP adresų lokacijų duomenų bazę.  Tikslumas yra ribotas."
,,,,,,comment,type,,"update(property: ""tiketinas_miestas_en@en"", type: ""text"")",4,open,spinta:204,,
,,,,,,,,,,,,,,
,,,,Biudzetas,,,id,,,,,,"Gyventojų investicinių projektų atrankos platformos ""Dalyvauk"" dalyvaujamųjų biudžetų pasiūlymų duomenys.",
,,,,,id,string,,,,4,,,Identifikavimo kodas,
,,,,,sukurta,datetime,L,,,4,open,,Sukūrimo data,Pasiūlymo sukūrimo data
,,,,,biudzetas_lt,string,,,,4,open,,Dalyvaujamasis biudžetas,
,,,,,,comment,type,,"update(property: ""biudzetas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,organizacija_lt,string,,,,4,open,,Organizacija,Pasiūlymą pateikusi organizacija
,,,,,,comment,type,,"update(property: ""organizacija_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,autoriaus_id,string,,,,4,open,,Autoriaus identifikatorius,
,,,,,ideja_lt,string,,,,4,open,,Idėja,Siūloma idėja
,,,,,,comment,type,,"update(property: ""ideja_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,vieta_lt,string,,,,4,open,,Vieta,Pasiūlymo vieta
,,,,,,comment,type,,"update(property: ""vieta_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,aprasymas_lt,string,,,,4,open,,Aprašymas,
,,,,,,comment,type,,"update(property: ""aprasymas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,rezultatai_lt,string,,,,4,open,,Rezultatas,Numatomas pasiūlymo rezultatas
,,,,,,comment,type,,"update(property: ""rezultatai_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,komentaru_skaicius,number,,,,4,open,,Komentarų skaičius,
,,,,,fiziniai_balsai,number,,,,4,open,,Fiziniai balsai,
,,,,,balsai,number,,,,4,open,,Balsai,
,,,,,vertinimas_baigtas,boolean,,,,4,open,,Vertinimas baigas,
,,,,,ivykdomumas_lt,string,,,,4,open,,Įvykdomumas,Įvykdomumo įvertinimas
,,,,,,comment,type,,"update(property: ""ivykdomumas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,neivykdomumo_priezastis_lt,string,,,,4,open,,Neįvykdomumo priežastis,
,,,,,,comment,type,,"update(property: ""neivykdomumo_priezastis_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,atrinkta,boolean,,,,4,open,,Atrinkta,
,,,,,laimejo,boolean,,,,4,open,,Laimėjo,
,,,,,paskutinis_atnaujinimas,datetime,L,,,4,open,,Paskutinis atnaujinimas,
