id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/klaipedosr/ugdymo_istaigu_priemimai,,,,,,,,,,,,Priėmimai į Klaipėdos rajono ikimokyklinio ir mokyklinio ugdymo įstaigas,Informacija apie vaikų priėmimo į Klaipėdos rajono savivaldybės ikimokyklinio ir mokyklinio ugdymo įstaigas pateiktus prašymus 
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,KlaipedosRajonoPriemimoIDarzeliusParaiska,,,paraiskos_id,,,4,,,Priėmimai į Klaipėdos rajono ikimokyklinio ugdymo įstaigas,Informacija apie vaikų priėmimo į Klaipėdos rajono savivaldybės ikimokyklinio ugdymo įstaigas pateiktus prašymus 
,,,,,paraiskos_id,string,,,,4,open,,Paraiškos identifikatorius,
,,,,,vaiko_asmens_kodas,string,,,,4,open,,Šifruotas vaiko asmens kodas,
,,,,,darzelio_pavadinimas,string,,,,4,open,,Darželio pavadinimas,
,,,,,darzelio_adresas,string,,,,4,open,,Darželio adresas,
,,,,,pageidaujama_grupe_lt,string,,,,4,open,,Paraiškoje nurodyta pageidaujama grupė,
,,,,,,comment,type,,"update(property: ""pageidaujama_grupe@lt"", type: ""text"")",4,open,,,
,,,,,grupes_amziaus_intervalas,string,,,,4,open,,Paraiškoje nurodomas grupės amžiaus intervalas,
,,,,,amziaus_pradzia_menesiais,string,,,,4,open,,Grupės lankymo pradžios amžius mėnesiais,
,,,,,prasoma_priimti_nuo,date,D,,,4,open,,Paraiškoje nurodyta priėmimo data,
,,,,,grupes_pradzia,date,D,,,4,open,,Grupės veikimo pradžios data,
,,,,,grupes_pabaiga,date,D,,,4,open,,Grupės veikimo pabaigos data,
,,,,,laisvu_vietu_sk,integer,,,,4,open,,Laisvų vietų skaičius,
,,,,,paraiskos_pateikimo_data,date,D,,,4,open,,Paraiškos pateikimo data,
,,,,,papildoma_informacija_lt,string,,,,4,open,,Papildoma informacija apie paraišką,
,,,,,,comment,type,,"update(property: ""papildoma_informacija@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,budinti_grupe_darzelyje,boolean,,,,4,open,,"Požymis, ar darželyje yra budinti grupė",
,,,,,,,,,,,,,,
,,,,KlaipedosRajonoPriemimoIMokyklasParaiska,,,paraiskos_id,,,4,,,Priėmimai į Klaipėdos rajono mokyklinio ugdymo įstaigas,Informacija apie vaikų priėmimo į Klaipėdos rajono savivaldybės mokyklinio ugdymo įstaigas pateiktus prašymus 
,,,,,paraiskos_id,string,,,,4,open,,Paraiškos identifikatorius,
,,,,,vaiko_asmens_kodas,string,,,,4,open,,Šifruotas vaiko asmens kodas,
,,,,,mokyklos_pavadinimas,string,,,,4,open,,Mokyklos pavadinimas,
,,,,,mokyklos_adresas,string,,,,4,open,,Mokyklos adresas,
,,,,,pageidaujama_klase_lt,string,,,,4,open,,Paraiškoje nurodyta pageidaujama klasė,
,,,,,,comment,type,,"update(property: ""pageidaujama_klase@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,klases_grupe,string,,,,4,open,,Paraiškoje nurodoma klasė,
,,,,,prasoma_priimti_nuo,date,D,,,4,open,,Paraiškoje nurodyta priėmimo data,
,,,,,klases_pabaiga,date,D,,,4,open,,Klasės veikimo pabaigos data,
,,,,,laisvu_vietu_skaicius,integer,,,,4,open,,Laisvų vietų skaičius,
,,,,,buvusi_istaiga,string,,,,4,open,,Vaiko buvusios ugdymo įstaigos pavadinimas,
,,,,,buvusios_istaigos_grupe_lt,string,,,,4,open,,Vaiko buvusios ugdymo įstaigos grupė ar klasė,
,,,,,,comment,type,,"update(property: ""buvusios_istaigos_grupe@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,paraiskos_pateikimo_data,date,D,,,4,open,,Paraiškos pateikimo data,
,,,,,ar_prioritetinis,boolean,,,,4,open,,"Požymis, ar paraiška yra prioritetinė",
