id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/klaipedosr,,,,,ns,,,,,,,Klaipėdos rajono savivaldybė,
,datasets/gov/klaipedosr/apklausu_rezultatai,,,,,,,,,,,,Klaipėdos rajono apklausų sistemos rezultatai,"Informacija apie Klaipėdos rajono gyventojų apklausų sistemoje apklausa.klaipedos-r.lt  vykdomų apklausų, seniūnaičių rinkimų bei vykdomo projekto ""Tavo idėja"" rezultatus nuo 2022 m. "
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,KlaipedosRajonoApklausuSistemosBalsavimoRezultatas,,,balsavimo_identifikatorius,,,4,,,Klaipėdos rajono apklausų sistemos rezultatai,Informacija apie Klaipėdos rajono gyventojų apklausų sistemoje apklausa.klaipedos-r.lt  rezultatus nuo 2022 m.
,,,,,balsavimo_identifikatorius,string,,,,4,open,,Balsavimo identifikatorius,
,,,,,respondento_identifikatorius,string,,,,4,open,,Respondento identifikatorius,
,,,,,respondento_ip_adresas,string,,,,4,open,,Respondento IP adresas nustatytas balsavimo metu ,
,,,,,tiketina_valstybe_pagal_ip,string,,,,4,open,,Užfiksuota apytikslė respondento lokacija (valstybė) balsavimo metu pagal IP adresa pagal trečiųjų šalių duomenis,
,,,,,tiketinas_miestas_pagal_ip,string,,,,4,open,,Užfiksuota apytikslė respondento lokacija (miestas) balsavimo metu pagal IP adresa pagal trečiųjų šalių duomenis,
,,,,,respondento_vardas_ir_pavarde,string,,,,4,open,,Respondento vardas ir pavardė,
,,,,,respondento_amzius,integer,yr,,,4,open,,Respondento amžius,
,,,,,apklausos_identifikatorius,string,,,,4,open,,Apklausos identifikatorius,
,,,,,apklausos_pavadinimas,string,,,,4,open,,Apklausos pavadinimas,
,,,,,aprasymas,string,,,,4,open,,Apklausos aprašas,
,,,,,pradzia,date,D,,,4,open,,Apklausos pradžia,
,,,,,pabaiga,date,D,,,4,open,,Apklausos pabaiga,
,,,,,klausimo_identifikatorius,string,,,,4,open,,Apklausos klausimo identifikatorius,
,,,,,klausimas,string,,,,4,open,,Apklausos klausimas,
,,,,,klausimo_tipas,string,,,,4,open,,Apklausos klausimo tipas,
,,,,,,enum,,,"""Likerto skalė""",,,,,
,,,,,,,,,"""Keli pasirinkimai iš sąrašo""",,,,,
,,,,,,,,,"""Vienas pasirinkimas iš sąrašo""",,,,,
,,,,,,,,,"""Nuoroda""",,,,,
,,,,,,,,,"""Įvedimo laukas""",,,,,
,,,,,atsakymo_identifikatorius,string,,,,4,open,,Atsakymo identifikatorius,
,,,,,atsakymas,string,,,,4,open,,Apklausos atsakymas,
,,,,,reitingo_atsakymo_identifikatorius,string,,,,4,open,,Reitingo atsakymo/įvertinimo identifikatorius,
,,,,,reitingo_atsakymas,string,,,,4,open,,Reitingo atsakymas/įvertinimas,
