id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lrkt,,,,,ns,,,,,,,Lietuvos Respublikos Konkurencijos Taryba,
,datasets/gov/lrkt/kotis/suteikta_parama,,,,,,,,,,,,Suteiktos valstybės pagalbos ir nereikšmingos (de minimis) pagalbos registro duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Parama,,,vda_id,,,4,,,Suteiktos valstybės pagalbos ir nereikšmingos (de minimis) pagalbos registro duomenys,
,,,,,vda_id,string,,,,,,,Unikalus identifikatorius,
,,,,,paramos_suma,number,,,,4,open,,Suteiktos paramos suma,
,,,,,paramos_gavimo_data,date,D,,,4,open,,Paramos gavimo data,
,,,,,teisinis_pagrindas,string,,,,4,open,,Prašymo gauti paramą būsena,
,,,,,prasymo_busena,string,,,,4,open,,Paramos gavėjas,
,,,,,gavejas,string,,,,4,open,,Paramos gavėjo tipas,
,,,,,gavejo_tipas,string,,,,4,open,,Požymis ar paramos gavėjas užsienietis,
,,,,,ar_gavej_uzseniet,boolean,,,,4,open,,Paramos gavėjo kodas,
,,,,,gavejo_kodas,string,,,,4,open,,Duomenų atnaujinimo data,
,,,,,atnaujinimo_data,date,D,,,4,open,,,
