id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/kvjud/,,,,,ns,,,,,,,AB Klaipėdos valstybinio jūrų uosto direkcija,
,datasets/gov/kvjud/atvykstanciu_isvykstanciu_laivu_registras,,,,,,,,,,,,Į Klaipėdos uostą atplaukiantys arba iš jo išplaukiantys tarptautiniai laivai.,Informacija apie registruojamus į Klaipėdos uostą  atplaukiančius arba iš jo išplaukiančius tarptautinius laivus.
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Laivas,,,laivo_id,,,4,,,Į Klaipėdos uostą atplaukiantys arba iš jo išplaukiantys tarptautiniai laivai.,Informacija apie registruojamus į Klaipėdos uostą  atplaukiančius arba iš jo išplaukiančius tarptautinius laivus.
,,,,,laivo_id,string,,,,4,open,,Plaukiančio laivo identifikatorius,
,,,,,laivo_registracijos_numeris,string,,,,4,open,,Laivo registracijos numeris,
,,,,,numatomas_atvykimas_isvykimas,datetime,,,,4,open,,Numatoma atvykimo ar išvykimo data ir laikas,
,,,,,faktinis_atvykimas_isvykimas,datetime,,,,4,open,,Realus atvykimo ar išvykimo data ir laikas,
,,,,,laivo_pavadinimas,string,,,,4,open,,Laivo pavadinimas,
,,,,,laivo_saukinys,string,,,,4,open,,Laivo šaukinys,
,,,,,laivo_tipas,string,,,,4,open,,Laivo tipo pavadinimas,
,,,,,registracijos_valstybes_pavadinimas,string,,,,4,open,,"Šalis, po kuria plaukia laivas",
,,,,,atvykimo_ar_isvykimo_uosto_pavadinimas,string,,,,4,open,,Pradinio ar galutinio uosto pavadinimas (prikalusomai nuo judėjimo krypties),
,,,,,atvykimo_ar_isvykimo_uosto_valstybes_pavadinimas,string,,,,4,open,,Valstybė kuriai priklauso pradinis ar galutinis uostas ,
,,,,,laivo_ilgis,number,,,,4,open,,Laivo ilgis metrais,
,,,,,laivo_tonazas,number,,,,4,open,,Bruto masė tonomis,
,,,,,laivo_plaukimo_kryptis,string,,,,4,open,,Laivo judėjimo kryptis,
,,,,,,enum,,,"""ATV""",,,,,
,,,,,,,,,"""ISV""",,,,,
,,,,,agento_imone,string,,,,4,open,,Agento įmonės pavadinimas,
,,,,,stovejimo_vietos_tipas,string,,,,4,open,,Laivo stovėjimo vietos tipas,
,,,,,,enum,,,"""KRANT""",,,,,
,,,,,,,,,"""DOK""",,,,,
,,,,,,,,,"""VIDR""",,,,,
,,,,,,,,,"""KITA""",,,,,
,,,,,stovejimo_vieta,string,,,,4,open,,Laivo stovėjimo vietos pavadinimas,
