id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasasets/gov/lakd/aplinkosauga,,,,,,,,,,,,,
,,environment,,,,geojson,,https://gis.ktvis.lt/arcgis/rest/services/PUB/PUB_APLINKOSAUGA/MapServer/2/query?outFields=*&where=1%3D1&f=geojson,,,,,,
,,,,NoiseReductionPanel,,,objectid,,,,,,Akustinė sienelė,
,,,,,objectid,integer,,objectid,,4,open,,Objekto identifikatorius,
,,,,,eo_kodas,integer,,eo_kodas,,4,open,,Savivaldybės erdvinių duomenų rinkinio specifikacijos kodas,
,,,,,kelionr,ref,/datasets/gov/lakd/keliai/StateRoad,kelionr,,4,open,,Kelio numeris,
,,,,,pr_km,number,,pr_km,,3,open,,Akustinės sienelės pradžios taškas nustatomas projekcijoje į kelią,
,,,,,pab_km,number,,pab_km,,3,open,,Akustinės sienelės pabaigos taškas nustatomas projekcijoje į kelią,
,,,,,vaz_dal,integer,,vaz_dal,,3,open,,Važiuojamoji dalis,
,,,,,,enum,,,0,,,,Viena važiuojamoji dalis,
,,,,,,,,,1,,,,Pirma važiuojamoji dalis,
,,,,,,,,,2,,,,Antra važiuojamoji dalis,
,,,,,kelio_puse,integer,,kelio_puse,,3,open,,Kelio pusė,
,,,,,,enum,,,1,,,,Kairėje šalia kelio,
,,,,,,,,,2,,,,Dešinėje šalia kelio,
,,,,,,,,,25,,,,Kairėje,
,,,,,,,,,26,,,,Dešinėje,
,,,,,akustsientipas,integer,,akustsientipas,,3,open,,Akustinės sienelės tipas,
,,,,,,enum,,,1,,,,Absorbuojanti,
,,,,,,,,,2,,,,Garsą atspindinti,
,,,,,,,,,3,,,,Mišri,
,,,,,aukstis,number,m,aukstis,,4,open,,Aukštis,
,,,,,ilgis,number,m,ilgis,,4,open,,Ilgis,
,,,,,shape,"geometry(linestring, 4326)",m,shape,,4,open,,Geometrija,
