id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasasets/gov/lakd/eismas,,,,,,,,,,,,,
,,aadttraffic,,,,geojson,,https://gissrv.eismoinfo.lt/server/rest/services/LAKIS/Kelio_parametrai/MapServer/8/query?outFields=*&where=1%3D1&f=geojson,,,,,,
,,,,TrafficCensus,,,id,,,,,,Eismo intensyvumas,
,,,,,id,integer,,id,,,,,,
,,,,,geometry,"geometry(linestring,4326)",m,geometry,,4,open,,Geometrija,
,,,,,objectid,integer,,objectid,,4,open,,Identifikatorius,
,,,,,kelionr,ref,/datasets/gov/lakd/keliai/StateRoad[kelionr],kelionr,,4,open,,Kelio numeris,
,,,,,pradziakm,number,km,pradziakm,,4,open,,Ruožo pradžia,
,,,,,pabaigakm,number,km,pabaigakm,,4,open,,Ruožo pabaiga,
,,,,,postovieta,number,km,postovieta,,4,open,,Matavimo vieta,
,,,,,transporto_klasifikatorius,string,,transportoklasifikatorius,,3,open,,Transporto klasifikatorius,
,,,,,periodo_pradzia,date,,periodopradzia,,2,open,,Matavimo periodo pradžia,
,,,,,periodo_pabaiga,date,,periodopabaiga,,2,open,,Matavimo periodo pabaiga,
,,,,,eismointensyvumas_ruoze,integer,,eismointensyvumasruoze,,3,open,,Bendras vidutinis metinis paros eismo intensyvumas ruože aut./parą,
,,,,,vmpei_sunk,integer,,vmpei_sunk,,3,open,,Sunkaus transporto vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,vmpei_lengv,integer,,vmpei_lengv,,3,open,,Lengvojo transporto vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,esa,number,,esa,,3,open,,Ekvivalentinis standartinių apkrovų skaičius,
,,,,,esa_lengv,number,,esa_lengv,,3,open,,Lengvojo transporto ekvivalentinis standartinių apkrovų skaičius,
,,,,,esa_sunk,number,,esa_sunk,,3,open,,Sunkaus transporto ekvivalentinis standartinių apkrovų skaičius,
,,,,,l_automob,integer,,lautomob,,3,open,,Lengvųjų automobilių vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,lengv_sun_minbus,integer,,lengv_sun_minbus,,3,open,,Lengvųjų sunkių automobilių vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,krov_be_priek,integer,,krov_be_priek,,3,open,,Krovininių be priekabų vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,krov_su_priek,integer,,krov_su_priek,,3,open,,Krovininių su priekaba vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,krov_su_puspriek,integer,,krov_su_puspriek,,3,open,,Krovininių su puspriekabe vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,autob,integer,,autob,,3,open,,Autobusų vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,kiti,integer,,kiti,,3,open,,Kitų vidutinis metinis paros eismo intensyvumas aut./parą,
,,,,,matavimo_metai,date,Y,matavimometai,,4,open,,Matavimo metai,
,,,,,statusas,integer,,statusas,,3,open,,Galiojimo statusas,
,,,,,matavo,string,,matavo,,3,open,,Matavimus atliko,
,,,,,pastabos,string,,pastabos,,3,open,,Pastabos,
,,,,,            ,,,,,,,,,
