id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasasets/gov/lakd/keliai,,,,,,,,,,,,,
,,roads,,,,json,,https://gissrv.eismoinfo.lt/server/rest/services/ARCGIS_ONLINE/OpenData/FeatureServer/7/query?outFields=*&where=1%3D1&f=geojson,,,,,,
,,,,StateRoad,,,objectid,,,,,,Kelias,
,,,,,geometry,"geometry(linestring,4326)",m,geometry,,4,open,,Geometrija,
,,,,,objectid,integer,,objectid,,4,open,,Identifikatorius,
,,,,,kelionr,string,,kelionr,,4,open,,Kelio numeris,
,,,,,pradziakm,number,km,pradziakm,,4,open,,Ruožo pradžia,
,,,,,pabaigakm,number,km,pabaigakm,,4,open,,Ruožo pabaiga,
,,,,,vazdalis,integer,,vazdalis,,2,open,,Važiuojamoji dalis,
,,,,,pavadinim,string,,pavadinim,,4,open,,Kelio pavadinimas,
,,,,,kryptis,string,,kryptis,,2,open,,Kelio kryptis,
