id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lakd/mokamikeliai,,,,,,,,,,,,,
,,,,,,prefix,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,tollroad,,,,geojson,,https://gissrv.eismoinfo.lt/server/rest/services/LAKIS/isalo_zonos/MapServer/3/query?outFields=*&where=1%3D1&f=geojson,,,,,,
,,,,TollRoad,,,objectid,,,4,,vadovas:dsa/dimensijos.html#model.ref,Mokamas kelias,
,,,,,geometry,"geometry(multilinestring, 4326)",m,geometry,,4,open,,Geometrija,
,,,,,objectid,integer,,objectid,,4,open,,Identifikatorius,
,,,,,kelionr,string,,kelionr,,2,open,,Kelio numeris,
,,,,,,comment,type,,"create(property: ""kelias"", type: ""ref"", ref: ""/datasets/gov/lakd/keliai/StateRoad[kelionr]"")",4,,,,
,,,,,,comment,property,,"update(property: ""kelias.kelionr"", type: """")",4,,Spinta:216,,
,,,,,nuo,number,km,nuo,,4,open,,Ruožo pradžia,
,,,,,iki,number,km,iki,,4,open,,Ruožo pabaiga,
