id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasasets/gov/lakd/vykdomiobjektai,,,,,,,,,,,,,
,,roadobject,,,,geojson,,https://gissrv.eismoinfo.lt/server/rest/services/PORTAL/PlanuojamiVP/MapServer/4/query?outFields=*&where=1%3D1&f=geojson,,,,,,
,,,,RoadObject,,,objectid,,,,,,Vykdomi objektai,
,,,,,geometry,"geometry(point, 4326)",m,,,4,open,,Geometrija,
,,,,,objectid,integer,,objectid,,4,open,,Identifikatorius,
,,,,,kelionr,ref,/datasets/gov/lakd/keliai/StateRoad,kelionr,,4,open,,Kelio numeris,
,,,,,km,number,km,km,,4,open,,Vieta kelyje,
,,,,,objektas_pavad,string,,objektas_pavad,,3,open,,Objekto pavadinimas,
,,,,,sutartiesnr,string,,sutartiesnr,,4,open,,Sutarties Nr.,
,,,,,sutartiespradzia,date,,sutartiespradzia,,2,open,,Sutarties pradžia,
,,,,,sutartiespabaiga,date,,sutartiespabaiga,,2,open,,Sutarties pabaiga,
,,,,,genrangovas_pavad,string,,genrangovas_pavad,,3,open,,Rangovas,
,,,,,importodata,date,,importodata,,2,open,,Duomenų įkėlimo data,
,,,,,darbotipas,string,,darbotipas,,3,open,,Darbo tipas,
,,,,,kaina,number,,kaina,,3,open,,Kaina,
,,,,,suma,number,,suma,,3,open,,Suma ,
