id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/govl/lbek/leidimai,,,,,,,,,,,,Lietuvos bioetikos komisijos duomenys,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Leidimas,,,,,,4,,,Lietuvos bioetikos komisijos duomenys,
,,,,,tyrimo_pavadinimas,string,,,,4,open,,Lietuvoje atliekamų biomedicininių tyrimų pavadinimai,
,,,,,protokolo_nr,string,,,,4,open,,Tyrimo protokolo numeris,
,,,,,leidimo_nr,string,,,,4,open,,Tyrimo leidimo numeris,
,,,,,isdavimo_data,date,D,,,4,open,,Tyrimo leidimo išdavimo data,
,,,,,tyrimo_atlikimo_vieta,string,,,,4,open,,Tyrimų leidimo išdavimo vieta,
,,,,,tyrimo_uzsakovas,string,,,,4,open,,Atliekamo tyrimo užsakovas,
,,,,,galiojimo_data,date,D,,,4,open,,Numatoma biomedicininio tyrimo trukmė/data iki pabaigos/statusas,
,,,,,euract_eudract_nr,string,,,,4,open,,EURACT numeris/EUDRACT numeris,
,,,,,leidima_isdavusi_institucija,string,,,,4,open,,Leidimą tyrimams atlikti išdavusi institucija,
,,,,,tyrimo_rusis,string,,,,4,open,,Biomedicininio tyrimo rūšis,
,,,,,tyrimo_faze,string,,,,4,open,,Biomedicinio tyrimo fazė,
,,,,,saltinis,string,,,,4,open,,Šaltinis,
