id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lgkt/skundai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Skundas,,,id,,,4,,,Lygių galimybių pažeidimų skundai," Rinkinyje pateikiami  asmenų gauti skundai dėl lygių galimybių pažeidimo: registracijos, uždarymo datos, teisinis pagrindas, sritis, uždarymo priežastis, respondentas ir su juo susijusi informacija, taip pat subjektas. Rinkinyje duomenys nuo 2015 metų gruodžio iki dabar. "
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,registarcijos_data,date,D,,,4,open,,Registracijos data,
,,,,,uzdarymo_data,date,D,,,4,open,,Skundo pabaigos data,
,,,,,teisinis_terminas,string,,,,4,open,,Teisinio termino pavadinimas,
,,,,,,comment,property,,"""update(property: """"teisinis_terminas[]"""", type: """"array"""", source: """"teisinis_terminas"""")""",4,,spinta:161,,
,,,,,sritis,string,,,,4,open,,Skundo srities pavadinimas,
,,,,,posritis,string,,,,4,open,,Skundo srities posrities pavadinimas,
,,,,,uzdarymo_priezastis,string,,,,4,open,,Sprendimo kodas ir aprašymas,
,,,,,,comment,property,,"""update(property: """"uzdarymo_priezastis[]"""", type: """"array"""", source: """"uzdarymo_priezastis"""")""",4,,spinta:161,,
,,,,,respondentas,string,,,,4,open,,"Respondentas/pranešėjas - Vardas pavardė, arba juridinio asmens pavadinimas",
,,,,,respondento_kodas,string,,,,4,open,,"Respondento: asmens, arba juridinio asmens kodas",
,,,,,respondento_tipas,string,,,,4,open,,"Respondento tipas: F -moteris, M -vyras, J -juridinis;",
,,,,,,enum,,,"""F""",,,,Moteris,
,,,,,,,,,"""M""",,,,Vyras,
,,,,,,,,,"""J""",,,,Juridinis asmuo,
,,,,,respondento_teisnis_statusas,string,,,,4,open,,Respondento teisinis statusas,
,,,,,,enum,,,"""Kita""",,,,Kita,
,,,,,,,,,"""VšĮ""",,,,Viešoji įstaiga,
,,,,,,,,,"""Valstybinė""",,,,Valstybinė,
,,,,,,,,,"""Savivaldybė""",,,,Savivaldybė,
,,,,,,,,,"""Privati""",,,,Privati,
,,,,,respondento_statusas,string,,,,4,open,,Respondento socialinis statusas,
,,,,,,enum,,,"""Negalią turintis(-i)""",,,,Negalią turintis(-i),
,,,,,,,,,"""Nuteistasis(-oji)""",,,,Nuteistasis(-oji),
,,,,,,,,,"""Dirbantis(-i)""",,,,Dirbantis(-i),
,,,,,,,,,"""Bedarbis(-ė)""",,,,Bedarbis(-ė),
,,,,,,,,,"""Pensininkas(-ė)""",,,,Pensininkas(-ė),
,,,,,respondento_tautybe,string,,,,4,open,,Respondento tautybė,
,,,,,respondento_miestas,string,,,,2,open,,Respondento miestas,
,,,,,respondento_savivaldybe,string,,,,2,open,,Respondento savivaldybė,
,,,,,subjektas,string,,,,4,open,,"Subjektas - Vardas pavardė, arba juridinio asmens pavadinimas",
,,,,,subjekto_kodas,string,,,,4,open,,"Subjekto: asmens, arba juridinio asmens kodas",
,,,,,subjekto_tipas,string,,,,4,open,,"Subjekto tipas: F -moteris, M -vyras, J -juridinis;",
,,,,,,enum,,,"""F""",,,,Moteris,
,,,,,,,,,"""M""",,,,Vyras,
,,,,,,,,,"""J""",,,,Juridinis asmuo,
,,,,,subjekto_teisnis_statusas,string,,,,4,open,,Subjekto teisinis statusas,
,,,,,,enum,,,"""Kita""",,,,Kita,
,,,,,,,,,"""VšĮ""",,,,Viešoji įstaiga,
,,,,,,,,,"""Valstybinė""",,,,Valstybinė,
,,,,,,,,,"""Savivaldybė""",,,,Savivaldybė,
,,,,,,,,,"""Privati""",,,,Privati,
,,,,,subjekto_miestas,string,,,,2,open,,Subjekto miestas,
,,,,,subjekto_savivaldybe,string,,,,2,open,,Subjekto savivaldybė,
