id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lgt/geotopu_sarasas,,,,,,,,,,,,Geotopų sąrašas (katalogas),
,,,,,,,,,,,,,,
,,,,Geotopas,,,eil_nr,,,4,open,,Geotopų sąrašas (katalogas) ,
,,,,,eil_nr,integer,,,,4,open,,Įrašo eilės numeris,
,,,,,tipas,string,,,,3,open,,Geotopo tipas,
,,,,,koord,"geometry(point,3346)",m,,,4,open,,Taškas,
,,,,,vardas,string,,,,4,open,,Geotopo vardas,
,,,,,sinonimai,string,,,,4,open,,Geotopo vardo sinonimas,
,,,,,adresas,string,,,,2,open,,Geotopo adresas,
,,,,,aprasymas,string,,,,2,open,,Geotopo vietovės aprašymas,
,,,,,matmuo_1,string,,,,4,open,,Matmuo 1,
,,,,,reiksme_1,string,,,,4,open,,Matmens reikšmė,
,,,,,matmuo_2,string,,,,4,open,,Matmuo 2,
,,,,,reiksme_2,string,,,,4,open,,Matmens reikšmė,
,,,,,matmuo_3,string,,,,4,open,,Matmuo 3,
,,,,,reiksme_3,string,,,,4,open,,Matmens reikšmė,
,,,,,matmuo_4,string,,,,4,open,,Matmuo 4,
,,,,,reiksme_4,string,,,,4,open,,Matmens reikšmė,
,,,,,sudetis,string,,,,2,open,,Sudėtis,
,,,,,unikalumas,string,,,,2,open,,Unikalumas,
,,,,,autorius,string,,,,2,open,,Geotopo aprašo autorius,
