id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lgt/valstybinio_pvm_hidrochemijos_duomenys,,,,,,,,,,,,Valstybinio požeminio vandens monitoringo požeminio vandens hidrochemijos duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,PVMHidrochemija,,,,,,4,open,,Valstybinio požeminio vandens monitoringo požeminio vandens hidrochemijos duomenys,
,,,,,posto_nr,integer,,,,4,open,,Stebimojo posto numeris,
,,,,,posto_pavadinimas,string,,,,4,open,,Stebimojo posto pavadinimas ,
,,,,,grezinio_nr,string,,,,4,open,,Gręžinio numeris,
,,,,,koord,"geometry(point,3346)",m,,,4,open,,Koordinatės,
,,,,,abs_aukstis,number,m,,,4,open,,Taško absoliutinis aukštis,
,,,,,gylis_nuo,number,m,,,4,open,,Bandinio  paėmimo intervalo  gylis nuo,
,,,,,gylis_iki,number,m,,,4,open,,Bandinio paėmimo intervalo  gylis iki,
,,,,,ban_paemimo_data,date,D,,,4,open,,Bandinio paėmimo data,
,,,,,chemijos_pavadinimas,string,,,,3,open,,Cheminio elemento arba tiriamo parametro pavadinimas,
,,,,,cas_nr,string,,,,4,open,,Cheminių medžiagų santrumpų tarnybos (angl. Chemical Abstracts Service) suteiktas medžiagos registracijos numeris,
,,,,,kiekio_charakteristika,string,,,,3,open,,Kiekio charakteristika,
,,,,,kiekis,number,,,,4,open,,Kiekis,
,,,,,mato_vienetas,string,,,,4,open,,Matavimo vienetas,
,,,,,standartas,string,,,,3,open,,Standartas,
,,,,,metodas,string,,,,3,open,,Metodas,
