id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lgt/valstybinio_pozeminio_vlm_duomenys,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,PozeminioVandensLygis,,,,,,2,,,Valstybinio požeminio vandens monitoringo  matavimų duomenys,
,,,,,postas,string,,,,4,open,,Stebimojo posto pavadinimas,
,,,,,posto_id,integer,,,,4,open,,Stebimojo posto numeris,
,,,,,tasko_id,integer,,,,4,open,,Taško numeris,
,,,,,koord,"geometry(point,3346)",m,,,4,open,,Koordinatės,
,,,,,gr_nr,integer,,,,4,open,,Gręžinio numeris,
,,,,,abs_aukstis,number,m,,,4,open,,Taško absoliutinis aukštis,
,,,,,data,date,D,,,4,open,,Matavimo data,
,,,,,lygis_cm,integer,cm,,,4,open,,Vandens lygis nuo žemės paviršiaus centimetrais,
,,,,,lygis_abs,number,m,,,4,open,,požeminio vandens lygis gręžinyje jūros lygio atžvilgiu (altitudė),
,,,,,temperatura,number,,,,3,open,,Vandens temperatūra,
,,,,,,comment,ref,,"update(ref: ""°C"")",4,,spinta:292,,
