id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lgt/vlm_vidutiniu_menesiniu_lygiu_duomenys,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,PzeminisVandensVidutinisMenLygis,,,,,,2,,,Valstybinio požeminio vandens monitoringo vidutinių mėnesinių vandens lygių duomenys,
,,,,,postas,string,,,,4,open,,Monitoringo posto pavadinimas,
,,,,,posto_id,integer,,,,4,open,,Monitoringo posto ID numeris,
,,,,,tasko_id,string,,,,4,open,,Matavimų taško numeris,
,,,,,koord,"geometry(point,3346)",m,,,4,open,,Taškas,
,,,,,gr_nr,integer,,,,4,open,,Gręžinio numeris,
,,,,,abs_aukstis,number,m,,,4,open,,Matavimo taško absoliutinis aukštis (altitudė),
,,,,,menuo,date,M,,,4,open,,Mėnuo,
,,,,,vid_lygis,number,cm,,,4,open,,Vidutinis mėnesio vandens lygis centimetrais nuo žemės paviršiaus,
,,,,,abs_lygis_mvn,number,m,,,4,open,,požeminio vandens lygis gręžinyje jūros lygio atžvilgiu (altitudė),
,,,,,vid_temperatura,number,°C,,,4,open,,Vidutinė mėnesio vandens temperatūra,
