id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lhmt,,,,,ns,,,,,,,Lietuvos hidrometeorologijos tarnyba (LHMT),
,datasets/gov/lhmt/stebejimai,,,,,,,,,,,,Rinkinyje pateikiami Lietuvos meteorologijos stočių meteorologinių stebėjimų duomenys.,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Matavimas,,,vda_prime_key,,,4,,,Rinkinyje pateikiami Lietuvos meteorologijos stočių meteorologinių stebėjimų duomenys.,"Duomenų rinkinį sudaro stoties pavadinimas ir kodas, stoties lokacijos koordinatės, stebėjimo laikas, reali ir juntamoji oro temperatūra stebėjimo metu, vėjo greitis, vėjo gūsis, vėjo kryptis, debesuotumas, slėgis jūros lygmenyje, santykinė oro drėgmė, kritulių kiekis ir oro sąlygos."
,,,,,vda_prime_key,string,,,,4,open,,Pirminis raktas,
,,,,,stoties_pavadinimas,string,,,,4,open,,Meteorologinės stoties pavadinimas,
,,,,,stoties_kodas,string,,,,4,open,,Meteorologinės stoties kodas,
,,,,,ilguma,number,,,,4,open,,Stoties ilgumos koordinatė,
,,,,,platuma,number,,,,4,open,,Stoties platumos koordinatė,
,,,,,stebejimo_laikas,datetime,L,,,4,open,,Stebėjimo laikas,
,,,,,oro_temp,number,,,,4,open,,Reali oro temperatūra,
,,,,,juntamoji_temp,number,,,,4,open,,Juntamoji oro temperatūra,
,,,,,vejo_greitis,number,,,,4,open,,Vėjo greitis,
,,,,,vejo_gusis,number,,,,4,open,,Vėjo gūsis,
,,,,,vejo_kryptis,integer,,,,4,open,,Vėjo kryptis,
,,,,,debesuotumas,integer,,,,4,open,,Debesuotumas,
,,,,,slegis_juros_lyg,number,,,,4,open,,Slėgis jūros lygmenyje,
,,,,,santyk_oro_dregme,integer,,,,4,open,,Santykinė oro drėgmė,
,,,,,kritutliu_kiekis,number,,,,4,open,,Kritulių kiekis,
,,,,,oro_salygos,string,,,,4,open,,Oro sąlygos,
