id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lki/2011_gyventoju_surasymas,,,,,,,,,,,,"Rinkinyje pateikiami 2011 m. gyventojų surašymo sociodemografiniai rodikliai, susieti su skirtingais erdviniais vienetais: 1 km ir 2 km gardelėmis, gyvenvietėmis, seniūnijomis bei LKA Thiesseno poligonais. Taip pat pateikiami LKA punktų erdviniai taškai ir jų atributai.",
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,GRID_hexo_1km_2011_gyv_suras_F_parsed,,,feature_id,,,4,,,1 km heksagoninių gardelių 2011 m. gyventojų surašymo rodikliai,"Lentelėje pateikiami 1 km heksagoninių gardelių erdviniai objektai ir su jais susieti 2011 m. gyventojų surašymo sociodemografiniai rodikliai."
,,,,,feature_id,integer,,,,4,open,,Erdvinio objekto identifikatorius,
,,,,,feature_type,string,,,,4,open,,Erdvinio objekto tipas,
,,,,,geometry_type,string,,,,4,open,,Geometrijos tipas,
,,,,,geometry_wkt,string,,,,4,open,,Geometrija WKT formatu,
,,,,,geometry_geojson,string,,,,4,open,,Geometrija GeoJSON formatu,
,,,,,OBJECTID,integer,,,,4,open,,Pirminio šaltinio objekto identifikatorius,
,,,,,Shape_Area,number,,,,4,open,,Objekto plotas,
,,,,,Shape_Length,number,,,,4,open,,Objekto perimetras arba geometrijos ilgis,
,,,,,aktyvumo_stat_bedarbis,integer,,,,4,open,,Bedarbių gyventojų skaičius,
,,,,,aktyvumo_stat_neaktyvus,integer,,,,4,open,,Ekonomiškai neaktyvių gyventojų skaičius,
,,,,,amzius_0_14,integer,,,,4,open,,0–14 metų amžiaus gyventojų skaičius,
,,,,,amzius_0_29_ir_60_plius_santykis,number,,,,4,open,,0–29 metų ir 60 metų bei vyresnių gyventojų santykis,
,,,,,amzius_0_29_proc,number,,,,4,open,,0–29 metų amžiaus gyventojų dalis procentais,
,,,,,amzius_15_29,integer,,,,4,open,,15–29 metų amžiaus gyventojų skaičius,
,,,,,amzius_30_44,integer,,,,4,open,,30–44 metų amžiaus gyventojų skaičius,
,,,,,amzius_45_59,integer,,,,4,open,,45–59 metų amžiaus gyventojų skaičius,
,,,,,amzius_60_74,integer,,,,4,open,,60–74 metų amžiaus gyventojų skaičius,
,,,,,amzius_60_plius_proc,number,,,,4,open,,60 metų ir vyresnių gyventojų dalis procentais,
,,,,,amzius_75_pius,integer,,,,4,open,,75 metų ir vyresnių gyventojų skaičius,
,,,,,atyvumo_stat_uzimtas,integer,,,,4,open,,Užimtų gyventojų skaičius,
,,,,,bedarbyste_proc,number,,,,4,open,,Bedarbystės lygis procentais,
,,,,,gimimo_valstybe_kt,integer,,,,4,open,,Už Lietuvos ribų gimusių gyventojų skaičius,
,,,,,gimimo_valstybe_lt,integer,,,,4,open,,Lietuvoje gimusių gyventojų skaičius,
,,,,,gimtoji_kalba_kt,integer,,,,4,open,,Gyventojų, kurių gimtoji kalba yra ne lietuvių, skaičius,
,,,,,gimtoji_kalba_lt,integer,,,,4,open,,Gyventojų, kurių gimtoji kalba yra lietuvių, skaičius,
,,,,,gimtoji_kalba_lt_proc,number,,,,4,open,,Gyventojų, kurių gimtoji kalba yra lietuvių, dalis procentais,
,,,,,gimtoji_kalba_sl,integer,,,,4,open,,Šaltinio kategorijos „sl“ gimtosios kalbos grupės gyventojų skaičius,
,,,,,gimtoji_kalba_tautybe_lt_santykis,number,,,,4,open,,Lietuvių gimtosios kalbos ir lietuvių tautybės rodiklių santykis,
,,,,,grid_id,string,,,,4,open,,Gardelės identifikatorius,
,,,,,gyv_sk,integer,,,,4,open,,Gyventojų skaičius,
,,,,,issilavinimas_aukstasis,integer,,,,4,open,,Aukštąjį išsilavinimą turinčių gyventojų skaičius,
,,,,,issilavinimas_aukstasis_proc,number,,,,4,open,,Aukštąjį išsilavinimą turinčių gyventojų dalis procentais,
,,,,,lytis_mot,integer,,,,4,open,,Moterų skaičius,
,,,,,lytis_vyr,integer,,,,4,open,,Vyrų skaičius,
