id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lki/zodziai_administracineje_kalboje,,,,,,,,,,,,Administracinės lietuvių kalbos žodžiai ir kiti reiškiniai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,AdminZodis,,,id,,,4,,,Administracinės lietuvių kalbos žodžiai ir kiti reiškiniai,"Lentelėje pateikta dalis lietuvių administracinėje kalboje aptinkamų probleminių žodžių ir kitų kalbos reiškinių su jų vartosenos paaiškinimais iš Lietuvių kalbos instituto (LKI) Administracinės kalbos aktualijų duomenų bazės, kuriai duomenys rinkti iš verstinių Europos Sąjungos dokumentų.
Pirmą kartą duomenys surinkti 2014 m. Kiti šių duomenų atnaujinimai galimi ateityje, Lietuvių kalbos institutui vykdant papildomus duomenų rinkimo projektus.
"
,,,,,id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,zodis,string,,,,4,open,,Žodis ar kitas kalbos reiškinys,
,,,,,paaiskinimas_lt,string,,,,4,open,,Žodžio ar kito kalbos reiškinio vartosenos paaiškinimas (pateiktas grynojo teksto formatu),
,,,,,,comment,type,,"update(property: ""paaiskinimas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,paaiskinimas_html_lt,string,,,,4,open,,Žodžio ar kito kalbos reiškinio vartosenos paaiškinimas (pateiktas html formatu),
,,,,,,comment,type,,"update(property: ""paaiskinimas_html_lt@lt"", type: ""text"")",4,open,spinta:204,,
