id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lmt/top_darbu_vertinimas,,,,,,,,,,,,Geriausių mokslo ir meno darbų vertinimo duomenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,DarboVertinimas,,,id,,,4,,,Geriausių mokslo ir meno darbų vertinimo duomenys,"Lentelėje - geriausių mokslo ir meno darbų vertinimo duomenys iš Lietuvos mokslo tarybos Mokslo (meno) veiklos rezultatų vertinimo sistemos „Vieversys“. Duomenys lentelėje pateikiami nuo 2017 metų ir atnaujinami, papildomi kas metus. Dėl techninių klausimų ar klaidų galima kreiptis į atverimas@stat.gov.lt.  "
,,,,,id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,vertinimo_metai,date,Y,,,4,open,,Vertinimo metai,
,,,,,komisija,string,,,,4,open,,Vertinimo komisija,
,,,,,suteikti_taskai,number,,,,4,open,,Vertinimo komisijos suteikti taškai,
,,,,,inst_pavadinimas,string,,,,4,open,,Institucijos pavadinimas,
,,,,,inst_tipas,string,,,,4,open,,Institucijos tipas,
,,,,,indelis_mokslo_krypciai,number,%,,,4,open,,Darbo indėlis konrkečiai mokslo (meno) krypčiai (procentais),
,,,,,mokslo_kryptis,string,,,,4,open,,Mokslo (meno) kryptis,
,,,,,mokslo_sritis,string,,,,4,open,,Mokslo (meno) sritis,
,,,,,wos_straipsnio_id,string,,,,4,open,,"WOS (""Web of Science"") darbo (straipsnio) identifikatorius",
,,,,,top_straipsnio_id,string,,,,4,open,,Top darbo (straipsnio) identifikatorius,
,,,,,straipsnis_top_metai,date,Y,,,4,open,,"Metai, kai darbas (straipnis) buvo vertinamas kaip top darbas",
,,,,,straipsnio_pavadinimas,string,,,,4,open,,Darbo (straipsnio) pavadinimas,
,,,,,straipsnio_autoriai,string,,,,4,open,,Darbo (straipsnio) autoriai,
,,,,,autoriu_sk,integer,U,,,4,open,,Darbo (straipsnio) autorių skaičius,
,,,,,inst_sk,integer,U,,,4,open,,Darbo (straipsnio) įstaigų skaičius,
,,,,,straipsnio_saltinis,string,,,,4,open,,Darbo (straipsnio) šaltinio pavadinimas,
,,,,,straipsnio_publikavimo_metai,date,Y,,,4,open,,Darbo (straipsnio) publikavimo metai,
,,,,,straipsnio_tomas,string,,,,4,open,,Darbo (straipsnio) tomas,
,,,,,straipsnio_nr,string,,,,4,open,,Darbo (straipsnio) numeris,
,,,,,straipsnio_puslapiai,string,,,,4,open,,Darbo (straipsnio) puslapiai žurnale abra tome,
,,,,,puslapiu_sk,integer,U,,,4,open,,Darbo (straipsnio) puslapių skaičius,
,,,,,autoriniu_lanku_sk,number,,,,4,open,,Darbo (straipsnio) autorinių lankų skaičius,
,,,,,elektronine_prieiga,string,,,,4,open,,Darbo (straipsnio) elektroninė prieiga (nuoroda),
