id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lnb/bibliografiniai_irasai,,,,,,,,,,,,Bibliografiniai įrašai,
,,,,,,,,,,,,,,
,,,,Sarasas,,,id,,,4,,,Bibliografiniai įrašai,Martyno Mažvydo bibliotekos LIBIS IS bibliografinių įrašų sąrašas
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,iraso_kodas,string,,,,4,open,,Įrašo kodas,
,,,,,iraso_pavadinimas,string,,,,4,open,,Pavadinimas sąrašui,
,,,,,leidinio_tipas,string,,,,4,open,,Bibliografinio įrašo tipas,
,,,,,leidinio_forma,string,,,,4,open,,Bibliografinio įrašo forma,
,,,,,leidinio_pavadinimas,string,,,,4,open,,Bibliografinio įrašo pavadinimas,
,,,,,leidinio_autorius,string,,,,4,open,,Bibliografinio įrašo autorius,
,,,,,publikavimo_duomenys,string,,,,4,open,,Bibliografinio įrašo publikavimo duomenys,
,,,,,publikavimo_metai,string,,,,4,open,,Bibliografinio įrašo publikavimo metai,
,,,,,fiziniai_duomenys,string,,,,4,open,,Bibliografinio įrašo fiziniai duomenys,
,,,,,leidinio_kalba,string,,,,4,open,,Bibliografinio įrašo kalba(kodas),
,,,,,leidinio_kalba_pavadinimas,string,,,,4,open,,Bibliografinio įrašo kalba(pavadinimas),
,,,,,leidinio_auditorija,string,,,,4,open,,Bibliografinio įrašo auditorija,
,,,,,leidinio_isbn,string,,,,4,open,,Bibliografinio įrašo ISBN,
,,,,,leidinio_udk,string,,,,4,open,,Bibliografinio įrašo UDK,
,,,,,leidinio_dalykas,string,,,,4,open,,Bibliografinio įrašo dalykas,
