id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lnb/epaveldas_institucijos,,,,,,,,,,,,"Institucijos, teikiančios informaciją Virtualiai elektroninio paveldo sistemai (VEPIS)",
,,,,,,,,,,,,,,
,,,,Sarasas,,,id,,,4,,,"Institucijos, teikiančios informaciją Virtualiai elektroninio paveldo sistemai (VEPIS)",
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,pavadinimas_lt,string,,,,4,open,,Institucijos pavadinimas lietuvių kalba,
,,,,,pavadinimas_en,string,,,,4,open,,Institucijos pavadinimas anglų kalba,
,,,,,trumpinys,string,,,,4,open,,Institucijos pavadinimo trumpinys,
,,,,,ist_tipas,string,,,,4,open,,Įstaigos tipas,
,,,,,,enum,,,"""Biudžetinė įstaiga""",,,,Biudžetinė įstaiga,
,,,,,,,,,"""Viešoji įstaiga""",,,,Viešoji įstaiga,
,,,,,,,,,"""Valstybės įmonė""",,,,Valstybės įmonė,
,,,,,,,,,"""Asociacija""",,,,Asociacija,
,,,,,,,,,"""Kita""",,,,Kita,
,,,,,,,,,"""Visuomeninė organizacija""",,,,Visuomeninė organizacija,
,,,,,tipas,string,,,,4,open,,Tipas,
,,,,,,enum,,,"""Muziejus""",,,,Muziejus,
,,,,,,,,,"""Biblioteka""",,,,Biblioteka,
,,,,,,,,,"""Archyvas""",,,,Archyvas,
,,,,,,,,,"""Valstybės institucija""",,,,Valstybės institucija,
,,,,,,,,,"""Institutas""",,,,Institutas,
,,,,,url,url,,,,4,open,,Nuoroda į institucijos svetainę,
,,,,,savivaldybe,string,,,,2,open,,Savivaldybė,
,,,,,adresas,string,,,,3,open,,Institucijos adresas,
,,,,,koord,geometry(3346),m,,,4,open,,Institucijos koordinatės,
,,,,,sukurta,date,D,,,4,open,,Įrašo apie instituciją sūkurimo data,
,,,,,atnaujinta,date,D,,,4,open,,"Data, kada paskutinį kartą atnaujinta informacija",
