id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lnb/kulturos_pasas,,,,,,,,,,,,KEIS Kultūros paso edukacijos,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Edukacijos,,,,,,4,,,KEIS Kultūros paso edukacijos,"""Rinkinyje pateikiamos edukacinės programos, kurias gali(-ėjo) įsigyti mokiniai pagal kultūros paso programą. Kultūros pasas – priemonė, leidžianti moksleiviams valstybės lėšomis lankytis įvairiausiuose kultūros ir meno renginiuose: spektakliuose, koncertuose, parodose ir kitose pažintinėse bei edukacinėse kultūros veiklose. Priklausomai nuo amžiaus grupės, moksleiviai kultūros ir meno paslaugomis gali pasinaudoti dalyvaudami kartu su klase ar grupe, o nuo 16 metų paslaugomis gali pasinaudoti ir individualiai. Kultūrines edukacijas kultūros paveldo, etninės kultūros, architektūros, cirko, baleto, kino, lėlių teatro, dramos teatro, literatūros ir kt."""
,,,,,id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,edukacijos_pavadinimas,string,,,,4,open,,Edukacijos pavadinimas,
,,,,,,comment,type,,"update(property: ""edukacijos_pavadinimas@lt"", type: ""text"")",4,open,,,
,,,,,edukacijos_tiekejas,string,,,,4,open,,Edukacijos tiekėjas,
,,,,,pritaikyta_klasems,string,,,,4,open,,Pritaikyta klasėms,
,,,,,,comment,property,,"""update(property: """"pritaikyta_klasems[]"""", type: """"array"""", source: """"pritaikyta_klasems"""")""",4,,spinta:161,,
,,,,,kaina,number,,,,4,open,,"Kaina, EUR",
,,,,,,comment,type,,"update(type: ""money"", ref: ""EUR"")",4,,spinta:40,,
,,,,,trukme,integer,min,,,4,open,,Trukmė minutėmis,
,,,,,aprasas,string,,,,4,open,,Aprašas,
,,,,,,comment,type,,"update(property: ""aprasas@lt"", type: ""text"")",4,open,,,
,,,,,galioja_nuo,date,D,,,4,open,,Galioja nuo,
,,,,,galioja_iki,date,D,,,4,open,,Galioja iki,
,,,,,vykdymo_vieta,string,,,,4,open,,Edukacijos vykdymo vieta,
,,,,,sritis,string,,,,4,open,,Edukacijos sritis,
,,,,,,comment,property,,"""update(property: """"sritis[]"""", type: """"array"""", source: """"sritis"""")""",4,,spinta:161,,
,,,,,savivaldybe,string,,,,2,open,,"Savivaldybė, kur vykdoma edukacija",
,,,,,metine_tema,string,,,,4,open,,Metinė tema atliepianti atminties metus,
,,,,,ugdomos_kompetencijos,string,,,,4,open,,Edukacijoje ugdomos bendrosios ir kūrybinės kompetencijos,
,,,,,,comment,property,,"""update(property: """"ugdomos_kompetencijos[]"""", type: """"array"""", source: """"ugdomos_kompetencijos"""")""",4,,spinta:161,,
,,,,,pritaikyta_kurtiesiems,boolean,,,,4,open,,Pritaikyta kurtiesiems,
,,,,,pritaikyta_judejimo_negaliai,boolean,,,,4,open,,Pritaikyta judėjimo negaliai,
,,,,,pritaikyta_intelektualiniam_sutrikimui,boolean,,,,4,open,,Pritaikyta intelektualiniam sutrikimui,
,,,,,pritaikyta_regejimo_negaliai,boolean,,,,4,open,,Pritaikyta regėjimo negaliai,
,,,,,gali_uzsisakyti_savarankiskai,boolean,,,,4,open,,Gali užsisakyti savarankiškai,
