id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lpt/leidimai_punktams,,,,,,,,,,,,Lošimo punktų leidimo dokumentai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Dokumentas,,,leidimo_dokumento_id,,,4,,,Lošimo punktų leidimo dokumentai,Lošimo punktų leidimų dokumentų ir jų istorijos sąrašas
,,,,,leidimo_dokumento_id,string,,,,4,open,,Unikalus identifikatorius,
,,,,,licencijos_id,string,,,,4,open,,Licencijos unikalus identifikatorius,
,,,,,leidimo_id,string,,,,4,open,,Unikalus leidimo id,"Licencijų, priskirtų šiems tipams, informacija yra teisinga: Lažybas, Stalo lošimus ir A kategorijos automatais, Lošimus B kategorijos automatais"
,,,,,leidimo_isdavimo_data,date,D,,,4,open,,Leidimo išdavimo data,
,,,,,leidimo_isdavimo_pagrindas,string,,,,4,open,,Leidimo išdavimo pagrindas,
,,,,,leidimo_tipas,string,,,,4,open,,Leidimo tipas,
,,,,,,enum,,,"""Lošimų automatų salonas""",,,,Lošimų automatų salonas,
,,,,,,,,,"""Lažybų punktas""",,,,Lažybų punktas,
,,,,,,,,,"""Lošimo namai (kazino)""",,,,Lošimo namai (kazino),
,,,,,,,,,"""Bingo salonas""",,,,Bingo salonas,
,,,,,losimu_vieta,string,,,,3,open,,Lošimo vieta,
,,,,,x_koord,integer,,,,4,open,,Lošimo punkto x koordinatė,
,,,,,y_koord,integer,,,,4,open,,Lošimo punkto y koordinatė,
,,,,,leidimo_panaikinimo_pagrindas,string,,,,4,open,,Leidimo panaikinimo pagrindas,
,,,,,leidimo_panaikinimo_data,date,D,,,4,open,,Leidimo panaikinimo data,
,,,,,dokumento_keitimo_pagrindas,string,,,,4,open,,Dokumento keitimo pagrindas,
,,,,,dokumento_numeris,string,,,,4,open,,Leidimo numeris,
,,,,,dokumentas_galioja_nuo,date,D,,,4,open,,Leidimo dokumentas galioja nuo,
,,,,,dokumentas_galioja_iki,date,D,,,4,open,,Leidimo dokumentas galioja iki,
