id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lpt/registro_objektas,,,,,,,,,,,,Apribojusių savo galimybę lošti asmenų registro objektų prašymai,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Objektas,,,,,,4,,,Apribojusių savo galimybę lošti asmenų registro objektų prašymai,Nuo 2017 m. gegužės 1 d. asmenų prašymai neleisti lošti ir dalyvauti nuotoliniuose lošimuose registruojami Apribojusių savo galimybę lošti asmenų registre
,,,,,id,string,,,,4,open,,Unikalus įrašo identifikatorius,
,,,,,registro_objekto_kodas,string,,,,4,open,,Registro objekto unikalus identifikatorius,
,,,,,asmuo,string,,,,4,open,,Asmens unikalus identifikatorius,
,,,,,lytis,string,,,,4,open,,Asmens lyties pavadinimas,
,,,,,gimimo_metai,date,Y,,,4,open,,Gimimo metai,
,,,,,asmens_losimu_miestai,string,,,,4,open,,"Asmens pažymėti miestai, kur lošia dažniausiai - pildant paraišką pasirinkti miestai - statistikai",
,,,,,,comment,property,,"""update(property: """"asmens_losimo_miestai[]"""", type: """"array"""", source: """"Asmens_losimo_miestai"""")""",4,,spinta:161,,
,,,,,asmens_losimu_rusys,string,,,,4,open,,"Asmens pažymėtos lošimų rūšys, kur lošia dažniausiai - pildant  paraišką pasirinktos rūšys - statistikai",
,,,,,,comment,property,,"""update(property: """"asmens_losimu_rusys[]"""", type: """"array"""", source: """"Asmens_losimu_rusys"""")""",4,,spinta:161,,
,,,,,registracijos_data,date,D,,,4,open,,Registracijos data,
,,,,,registracijos_priezastis,string,,,,3,open,,Registracijos priežastis,
,,,,,,comment,property,,"""update(property: """"registracijos_priezastis[]"""", type: """"array"""", source: """"Registracijos_priezastis"""")""",4,,spinta:161,,
,,,,,periodo_pabaiga,date,D,,,4,open,,Periodo pabaiga,
,,,,,periodo_keitimo_priezastis,string,,,,3,open,,Periodo keitimo priežasties pavadinimas,
,,,,,pasalinimo_data,date,D,,,4,open,,Pašalinimo data,
,,,,,pasalinimo_priezastis,string,,,,3,open,,Pašalinimo priežastis,
,,,,,pozymis_archyvuota,boolean,,,,4,open,,Požymis ar archyvuota,
,,,,,prasymo_numeris,string,,,,4,open,,Prašymo numeris,
,,,,,prasymo_data,date,D,,,4,open,,Prašymo data,
,,,,,prasymo_tipas,string,,,,3,open,,Prašymo tipas,
