id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lrsk,,,,,,,,,,,,Lietuvos Respublikos Seimo Kanceliarija,
,datasets/gov/lrsk/teises_aktai,,,,,,,,,,,,TeisÄ—s aktÅ³ registro duomenys,"Rinkinyje pateikiami teisės aktų registro duomenys. Rinkinys susideda iš dviejų modelių: dokumentų ir jų suvestinių. Pateikiami duomenys apie teisės aktų objektus, juos parengusius ir priėmusius subjektus, identifikacinius kodus, objektų rūšis, pavadinimus ir jų chronologijas (teisės akto priėmimo data, registravimo Registre data, paskelbimo data, įsigaliojimo data, pakeitimo ar papildymo data, pripažinimo netekusiu galios data, galiojimo sustabdymo data, galiojimo terminas). Registro objektai yra šie teisės aktai:
1) Lietuvos Respublikos Konstitucija;
2) konstituciniai įstatymai;
3) kiti įstatymai;
4) Lietuvos Respublikos Seimo statutas;
5) Lietuvos Respublikos Seimo (toliau – Seimas) nutarimai;
6) kiti Seimo priimti teisės aktai;
7) Lietuvos Respublikos tarptautinės sutartys;
8) Respublikos Prezidento dekretai ir potvarkiai;
9) Lietuvos Respublikos Vyriausybės (toliau – Vyriausybė) nutarimai, sprendimai ir rezoliucijos;
10) Lietuvos Respublikos Konstitucinio Teismo (toliau – Konstitucinis Teismas) reglamentas;
11) ministrų, Vyriausybės įstaigų, kitų valstybės institucijų ir įstaigų vadovų bei kolegialių institucijų norminiai teisės aktai;
12) Ministro Pirmininko potvarkiai;
13) Seimo Pirmininko potvarkiai;
14) Seimo valdybos sprendimai;
15) Lietuvos banko norminiai teisės aktai;
16) savivaldybių institucijų norminiai teisės aktai, taip pat savivaldybių merų priimami teisės aktai, kuriuos skelbti Registre privaloma pagal teisės aktų reikalavimus;
17) įgaliotų atlikti viešąjį administravimą asociacijų, valstybės ar savivaldybės įmonių, viešųjų įstaigų, kurių savininkė ar dalininkė yra valstybė ar savivaldybė, valdymo organų priimti norminiai teisės aktai. Kitų asociacijų, valstybės ar savivaldybės įmonių, viešųjų įstaigų, kurių savininkė ar dalininkė yra valstybė ar savivaldybė, valdymo organų priimti teisės aktai Registro objektais yra tik tais atvejais, kai šiuos teisės aktus skelbti Registre privaloma pagal teisės aktų reikalavimus;
18) ministrų, Vyriausybės įstaigų, kitų valstybės ir savivaldybių institucijų ir įstaigų vadovų ir kolegialių institucijų, taip pat Lietuvos banko valdybos ar valdybos pirmininko, teisės aktų nustatyta tvarka įgaliotų atlikti viešąjį administravimą asociacijų, valstybės ar savivaldybės įmonių, viešųjų įstaigų, kurių savininkė ar dalininkė yra valstybė ar savivaldybė, valdymo organų priimti teisės taikymo aktai, kuriuos skelbti Registre privaloma pagal teisės aktų reikalavimus;
19) Konstitucinio Teismo nutarimai ir sprendimai dėl Konstitucinio Teismo nutarimo išaiškinimo, taip pat Konstitucinio Teismo pirmininko pranešimai dėl ginčijamo akto galiojimo sustabdymo ir dėl sustabdyto akto galiojimo atnaujinimo;
20) Lietuvos Aukščiausiojo Teismo ir Lietuvos vyriausiojo administracinio teismo sprendimai, nutartys, nutarimai, taip pat įsiteisėję administracinių teismų sprendimai dėl norminių administracinių aktų teisėtumo.

Duomenų teikėjas: Lietuvos Respublikos Seimo kanceliarija.

Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt.

2025-06-13: pridėti teisės aktų suvestinių duomenys. Suvestinių tekstus šiuo metu galima pasiekti pagal pateiktą nuorodą. Ateityje numatoma paskelbti ir suvestinių tekstus."
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Dokumentas,,,vda_id,,,4,,,TeisÄ—s aktÅ³ registro duomenys,"Pateikiami duomenys apie teisės aktų objektus, juos parengusius ir priėmusius subjektus, identifikacinius kodus, objektų rūšis, pavadinimus ir jų chronologijas (teisės akto priėmimo data, registravimo Registre data, paskelbimo data, įsigaliojimo data, pakeitimo ar papildymo data, pripažinimo netekusiu galios data, galiojimo sustabdymo data, galiojimo terminas)."
,,,,,vda_id,string,,,,4,open,,ValstybÄ—s duomenÅ³ agentÅ«ros ÄÆraÅo identifikatorius,
,,,,,dokumento_id,string,,,,4,open,,Dokumento unikalus identifikatorius,
,,,,,pavadinimas,string,,,,4,open,,Dokumento pavadinimas,
,,,,,nuoroda,string,,,,4,open,,"URL nuoroda ÄÆ teisÄ—s aktÄ…. Galioja tik tuo atveju, kai teisÄ—s aktas yra paskelbtas ar registruotas teisÄ—s aktÅ³ registre.",
,,,,,alt_pavadinimas,string,,,,4,open,,Alternatyvus dokumento pavadinimas,
,,,,,tekstas_lt,string,,,,2,open,,Teisės akto naujausios suvestinės tekstas,
,,,,,,comment,type,,"update(property: ""tekstas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,dok_busena,string,,,,4,open,,Dokumento bÅ«sena,
,,,,,,enum,,,"""registruotas TA registre""",,,,,
,,,,,,,,,"""nepriimtas""",,,,,
,,,,,,,,,"""paskelbtas""",,,,,
,,,,,,,,,"""sunaikintas (loginis trynimas)""",,,,,
,,,,,,,,,"""atsiimtas""",,,,,
,,,,,,,,,"""parengtas""",,,,,
,,,,,,,,,"""sudarytas""",,,,,
,,,,,,,,,"""ÄÆsegtas""",,,,,
,,,,,,,,,"""priimtas registruoti""",,,,,
,,,,,,,,,"""iÅsegtas (dokumentas modifikuojamas)""",,,,,
,,,,,dok_grupe,string,,,,4,open,,Dokumento grupÄ— (TAR; klasifikatoriaus reikÅmÄ—s identifikatorius),
,,,,,,enum,,,"""valstybÄ—s institucijÅ³ ir ÄÆstaigÅ³ teisÄ—s aktai""",,,,,
,,,,,,,,,"""savivaldybiÅ³ teisÄ—s aktai""",,,,,
,,,,,,,,,"""teismÅ³ dokumentai""",,,,,
,,,,,,,,,"""tarptautiniai dokumentai""",,,,,
,,,,,,,,,"""kiti""",,,,,
,,,,,pobudis,string,,,,4,open,,Dokumento pobÅ«dis,
,,,,,,enum,,,"""norminis""",,,,,
,,,,,,,,,"""teisÄ—s taikymo""",,,,,
,,,,,galioj_busena,string,,,,4,open,,TeisÄ—s akto galiojimo bÅ«sena (TAR; klasifikatoriaus reikÅmÄ—s identifikatorius),
,,,,,,enum,,,"""galioja""",,,,,
,,,,,,,,,"""negalioja""",,,,,
,,,,,,,,,"""neÄÆsigaliojÄ™s""",,,,,
,,,,,,,,,"""nevieÅas""",,,,,
,,,,,,,,,"""sustabdytas""",,,,,
,,,,,parengusi_inst,string,,,,4,open,,DokumentÄ… parengusiÅ³ institucijÅ³ pavadinimai (rÅ«Åiavimui),
,,,,,priemusi_inst,string,,,,4,open,,DokumentÄ… priÄ—musiÅ³ (priimanÄ¨iÅ³) institucijÅ³ pavadinimai (rÅ«Åiavimui),
,,,,,tar_kodas,string,,,,4,open,,TA registro (TAR) kodas,
,,,,,rusis,string,,,,4,open,,RÅ«Åis (TeisÄ—s akto rÅ«Åis),
,,,,,atv_dok_nr,string,,,,2,open,,Atvaizduojamas dokumento numeris,
,,,,,registracija,date,D,,,4,open,,Registracijos data (TA registracijos data ),
,,,,,isigal_sal_lt,string,,,,2,open,,TeisÄ—s akto ÄÆsigaliojimo sÄ…lygos,
,,,,,,comment,type,,"update(property: ""isigal_sal_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,termino_sal,string,,,,2,open,,TeisÄ—s akto termino datos sÄ…lygos,
,,,,,es_teises_aktas,integer,,,,4,open,,NuorodÅ³ ÄÆ ES teisÄ—s aktus skaiÄ¨ius,
,,,,,priimtas,date,D,,,4,open,,TeisÄ—s akto priÄ—mimo data,
,,,,,prisijungta,date,D,,,4,open,,TeisÄ—s akto prijungimo data,
,,,,,pakeista,string,,,,2,open,,TeisÄ—s akto pakeitimo data,
,,,,,,comment,property,,"""update(property: """"pakeista[]"""", type: """"array"""", source: """"Pakeista"""")""",4,,spinta:161,,
,,,,,ratifikuota,date,D,,,4,open,,TeisÄ—s akto ratifikavimo data,
,,,,,patvirtinta,date,D,,,4,open,,TeisÄ—s akto patvirtinimo data,
,,,,,paskelbta_tar,date,D,,,4,open,,Registravimo teisÄ—s aktÅ³ registre data,
,,,,,isigalioja,date,D,,,4,open,,TeisÄ—s akto ÄÆsigaliojimo data,
,,,,,isigalioja_po_salygu,date,D,,,4,open,,Ä®sigaliojimo po sÄ…lygÅ³ ÄÆvykdymo data,
,,,,,negalioja,date,D,,,4,open,,TeisÄ—s akto termino data,
,,,,,negalioja_po_salygu,date,D,,,4,open,,TeisÄ—s akto termino po sÄ…lygÅ³ ÄÆvykdymo data,
,,,,,pask_atitaisymas,date,D,,,4,open,,TeisÄ—s akto paskutinio atitaisymo data,
,,,,,paviesinimas,date,D,,,4,open,,"TeisÄ—s akto, kito dokumento pavieÅinimo data",
,,,,,ar_nacionalinis,boolean,,,,4,open,,"PoÅ¾ymis, ar dokumentas nacionalinis (True ā€“nacionalinis,  False ā€“ savivaldybiÅ³)",
,,,,,ar_verslo_reg,boolean,,,,4,open,,"Verslo sÄ…lygÅ³ reguliavimo  poÅ¾ymis (True ā€“ taip,  False ā€“ ne)",
,,,,,,,,,,,,,,
,,,,Suvestine,,,vda_id,,,4,,,Teisės aktų suvestinių duomenys,Pateikiami duomenys apie teisės aktų suvestines.
,,,,,vda_id,string,,,,4,open,,Valstybės duomenų agentūros įrašo identifikatorius,
,,,,,dokumento_id,string,,,,4,open,,Dokumento unikalus identifikatorius,
,,,,,suvestines_id,string,,,,4,open,,Suvestinės redakcijos pagal pakeitimą identifikatorius,
,,,,,nuoroda,string,,,,4,open,,Nuoroda į dokumento suvestinę,
,,,,,tekstas_lt,string,,,,2,open,,Dokumento suvestinės tekstas,
,,,,,,comment,type,,"update(property: ""tekstas_lt@lt"", type: ""text"")",4,open,spinta:204,,
,,,,,galioja_nuo,datetime,S,,,4,open,,Suvestinės redakcijos įsigaliojimo data,
,,,,,galioja_iki,datetime,S,,,4,open,,Suvestinės redakcijos galiojimo terminas,
,,,,,suv_duom_atnaujinimas,datetime,S,,,4,open,,,
