id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lrtm,,,,,ns,,,,,,,Lietuvos Respublikos teisingumo ministerija,
,datasets/gov/lrtm/notaru_sarasas,,,,,,,,,,,,Notarų sąrašo duomenų rinkinys,Informacija apie Lietuvoje veikiančius notarus
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,ReklamosLeidimas,,,id,,,4,,,Notarų sąrašas,"Rinkinyje pateikiamas Lietuvos Respublikos notarų sąrašas, užtikrinantis notariato veiklos skaidrumą, teisinį reguliavimą ir priežiūrą. Rinkinį sudaro istoriniai ir aktualūs duomenys apie notarus, jų paskyrimus, atleidimus, veiklą ir įgaliojimų sustabdymus. Vienoje duomenų rinkinio eilutėje pateikiama informacija apie notarą konkrečiame notarų biure. Duomenų teikėjas – Lietuvos Respublikos teisingumo ministerija."
,,,,,vda_prime_key,string,,vda_prime_key,,4,open,,Notaro unikalus identifikatorius,
,,,,,vda_notaro_vardas_pavarde,string,,vda_notaro_vardas_pavarde,,4,open,,Notaro vardas ir pavardė,
,,,,,notaro_vardas,string,,notaro_vardas,,4,open,,Notaro vardas,
,,,,,notaro_pavarde,string,,notaro_pavarde,,4,open,,Notaro pavardė,
,,,,,asmens_kodas,string,,asmens_kodas,,4,open,,Šifruotas asmens kodas,
,,,,,asm_k_validacija,string,,asm_k_validacija,,4,open,,VDA atliktas asmens kodo tikrinimas,
,,,,,lytis,string,,lytis,,4,open,,"Notaro lytis (V - Vyras, M - Moteris)",
,,,,,vda_gimimo_desimtmetis,date,D,vda_gimimo_desimtmetis,,4,open,,VDA sudarytas gimimo dešimtmetis iš asmens kodo,
,,,,,paskyrimo_data,date,D,paskyrimo_data,,4,open,,Notaro paskyrimo data į einamas pareigas,
,,,,,atleidimo_metai,date,D,atleidimo_metai,,4,open,,Notaro atleidimo metai,
,,,,,atleidimo_priezastis,string,,atleidimo_priezastis,,4,open,,Notaro atleidimo priežastis,
,,,,,notaro_biuras,string,,notaro_biuras,,4,open,,Notaro biuro pavadinimas,
,,,,,notaro_savivaldybe,string,,notaro_savivaldybe,,4,open,,"Savivaldybė, kurioje veikia notaras",
,,,,,notaro_apskritis,string,,notaro_apskritis,,4,open,,"Apskritis, kurioje veikia notaras",
,,,,,igaliojimu_sustabdymo_pradzia,date,D,igaliojimu_sustabdymo_pradzia,,4,open,,"Data, nuo kurios sustabdyti notaro įgaliojimai",
,,,,,igaliojimu_sustabdymo_pabaiga,date,D,igaliojimu_sustabdymo_pabaiga,,4,open,,"Data, iki kurios buvo sustabdyti notaro įgaliojimai",
