id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/butu_pirkimai_gardelese,,,,,,,,,,,,Nekilnojamojo turto registro butų pirkimų sandorių informacija gardelėse,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,ButuPirkimas,,,iraso_id,,,4,,,"Agreguoti VĮ Registrų centro Nekilnojamojo turto registro (NTR) gyvenamosios paskirties (butų) objektų pirkimų sandorių duomenys 1 km stačiakampėse gardelėse.","Lentelėje pateikiami agreguoti VĮ Registrų centro Nekilnojamojo turto registro (NTR) gyvenamosios paskirties (butų) objektų pirkimų sandorių duomenys 1 km stačiakampėse gardelėse. Laiko aprėptis - nuo 1998 m. Duomenys šiame rinkinyje apima ne visus gyvenamosios (butų) paskirties objektų pirkimų aibės sandorius, bet tik tuos sandorius, kurių metu įsigytas tik vienas objektas. Informacija apie sandorius, kurių metu buvo perkami keli objektai (pvz.: butas ir sandėliukas arba butas ir žemės skypas) šioje lentelėje nepateikiami. Geografinė informacija (gardelės) gauta iš VĮ Registrų centro Adresų registro."
,,,,,iraso_id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,sq_grid_id,ref,/datasets/gov/lsd/grid/Grid1KmSq,,,4,open,,Stačiakampės 1km gardelės unikalus identifikatorius,
,,,,,data_nuo,date,Y,,,4,open,,Laikotarpio (metų) pradžios data,
,,,,,data_iki,date,Y,,,4,open,,Laikotarpio (metų) pabaigos data,
,,,,,sandoriu_sk,number,U,,,4,open,,Unikalių sandorių skaičius,
,,,,,objektu_sk,number,U,,,4,open,,Unikalių nekilnojamojo turto objektų (butų) skaičius,
,,,,,vid_sandorio_verte,number,,,,4,open,,Sandorių verčių vidurkis (Eur),
,,,,,min_sandorio_verte,number,,,,4,open,,Sandorių verčių mažiausia vertė (Eur),
,,,,,sandorio_verte_p10,number,,,,4,open,,Sandorių verčių 10-asis procentilis (Eur),
,,,,,sandorio_verte_p20,number,,,,4,open,,Sandorių verčių 20-asis procentilis (Eur),
,,,,,sandorio_verte_p30,number,,,,4,open,,Sandorių verčių 30-asis procentilis (Eur),
,,,,,sandorio_verte_p40,number,,,,4,open,,Sandorių verčių 40-asis procentilis (Eur),
,,,,,sandorio_verte_p50,number,,,,4,open,,Sandorių verčių 50-asis procentilis (Eur),
,,,,,sandorio_verte_p60,number,,,,4,open,,Sandorių verčių 60-asis procentilis (Eur),
,,,,,sandorio_verte_p70,number,,,,4,open,,Sandorių verčių 70-asis procentilis (Eur),
,,,,,sandorio_verte_p80,number,,,,4,open,,Sandorių verčių 80-asis procentilis (Eur),
,,,,,sandorio_verte_p90,number,,,,4,open,,Sandorių verčių 90-asis procentilis (Eur),
,,,,,maks_sandorio_verte,number,,,,4,open,,Sandorių verčių didžiausia vertė (Eur),
,,,,,vid_isigytas_plotas,number,m^2,,,4,open,,Įsigytų plotų verčių vidurkis (m2),
,,,,,min_isigytas_plotas,number,m^2,,,4,open,,Įsigytų plotų verčių mažiausia vertė (m2),
,,,,,isigytas_plotas_p10,number,m^2,,,4,open,,Įsigytų plotų verčių 10-asis procentilis (m2),
,,,,,isigytas_plotas_p20,number,m^2,,,4,open,,Įsigytų plotų verčių 20-asis procentilis (m2),
,,,,,isigytas_plotas_p30,number,m^2,,,4,open,,Įsigytų plotų verčių 30-asis procentilis (m2),
,,,,,isigytas_plotas_p40,number,m^2,,,4,open,,Įsigytų plotų verčių 40-asis procentilis (m2),
,,,,,isigytas_plotas_p50,number,m^2,,,4,open,,Įsigytų plotų verčių 50-asis procentilis (m2),
,,,,,isigytas_plotas_p60,number,m^2,,,4,open,,Įsigytų plotų verčių 60-asis procentilis (m2),
,,,,,isigytas_plotas_p70,number,m^2,,,4,open,,Įsigytų plotų verčių 70-asis procentilis (m2),
,,,,,isigytas_plotas_p80,number,m^2,,,4,open,,Įsigytų plotų verčių 80-asis procentilis (m2),
,,,,,isigytas_plotas_p90,number,m^2,,,4,open,,Įsigytų plotų verčių 90-asis procentilis (m2),
,,,,,maks_isigytas_plotas,number,m^2,,,4,open,,Įsigytų plotų verčių didžiausia vertė (m2),
,,,,,vid_buto_verte,number,,,,4,open,,Butų verčių vidurkis (Eur/m2),
,,,,,min_buto_verte,number,,,,4,open,,Butų verčių mažiausia vertė (Eur/m2),
,,,,,buto_verte_p10,number,,,,4,open,,Butų verčių 10-asis procentilis (Eur/m2),
,,,,,buto_verte_p20,number,,,,4,open,,Butų verčių 20-asis procentilis (Eur/m2),
,,,,,buto_verte_p30,number,,,,4,open,,Butų verčių 30-asis procentilis (Eur/m2),
,,,,,buto_verte_p40,number,,,,4,open,,Butų verčių 40-asis procentilis (Eur/m2),
,,,,,buto_verte_p50,number,,,,4,open,,Butų verčių 50-asis procentilis (Eur/m2),
,,,,,buto_verte_p60,number,,,,4,open,,Butų verčių 60-asis procentilis (Eur/m2),
,,,,,buto_verte_p70,number,,,,4,open,,Butų verčių 70-asis procentilis (Eur/m2),
,,,,,buto_verte_p80,number,,,,4,open,,Butų verčių 80-asis procentilis (Eur/m2),
