id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/darbo_uzmokestis,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,DarboUzmokestis2014,,,,,,,,,Darbo užmokesčio struktūros statistinis tyrimas 2014 m.,2014 metais atliktas darbo užmokesčio struktūros statistinis tyrimas
,,,,,year,integer,,,,,open,,Ataskaitiniai metai,
,,,,,evrk,string,,,,,open,,"Ekonominės veiklos rūšies kodas (EVRK 2 red., sekcijos) ",
,,,,,key_e,integer,,,,,open,,Darbuotojo kodas ,
,,,,,key_l,integer,,,,,open,,Vietos vieneto kodas ,
,,,,,nuts,string,,,,,open,,Vietos vieneto geografinė vieta (NUTS-1),
,,,,,im_dydzio_kodas,integer,,,,,open,,"Įmonės, kuriai priklauso vietos vienetas, dydžio kodas",
,,,,,,enum,,,0,,,, 1-49  darbuotojų,
,,,,,,,,,1,,,, 50-249  darbuotojų,
,,,,,,,,,2,,,,250 ir daugiau  darbuotojų,
,,,,,im_dydis,string,,,,,open,,"Įmonės, kuriai priklauso vietos vienetas, dydis",
,,,,,,enum,,,"""1_49""",,,, 1-49  darbuotojų,
,,,,,,,,,"""50_249""",,,, 50-249  darbuotojų,
,,,,,,,,,"""GT_250""",,,,250 ir daugiau  darbuotojų,
,,,,,evrk_2z,string,,,,,open,,"Vietos vieneto ekonominės veiklos rūšies kodas (EVRK 2 red.,  2 ženklai) ",
,,,,,nuosavybe,string,,,,,open,,Nuosavybės forma,
,,,,,,enum,,,"""A""",,,,Viešasis sektorius ,
,,,,,,,,,"""B""",,,,Privatusis sektorius ,
,,,,,sutartis,string,,,,,open,,Kolektyvinė sutartis,
,,,,,,enum,,,"""A""",,,,Nacionalinė,
,,,,,,,,,"""B""",,,,"Šakos (gamybos, paslaugų, profesinė)",
,,,,,,,,,"""C""",,,,"Teritorinė (savivaldybės, apskrities)",
,,,,,,,,,"""D""",,,,Įmonės,
,,,,,,,,,"""E""",,,,Vietos vieneto,
,,,,,,,,,"""F""",,,,Kita,
,,,,,,,,,"""N""",,,,Nesudaryta,
,,,,,vv_darb_sk,integer,,,,,open,,Vietos vieneto darbuotojų skaičius spalio 31 d. ,
,,,,,lytis,string,,,,,open,,Lytis,
,,,,,amzius,string,,,,,open,,Amžius,
,,,,,,enum,,,"""F""",,,,Moteris,
,,,,,,,,,"""M""",,,,Vyras,
,,,,,profesija,integer,,,,,open,,Darbuotojo profesijos kodas  (pagal Lietuvos profesijų klasifikatorių LPK-2012 – 3 ženklai).,
,,,,,issilavinimas,string,,,,,open,,"Aukščiausias įgytas išsilavinimas, švietimo lygmuo",
,,,,,,enum,,,"""G1""",,,,Pradinis arba pagrindinis,
