id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/klasifikatoriaI,,,,,,,,,,,,Statistikos departamento klasifikatoriai,
,,,,,,,,,,,,,,
,,,,EkonominesVeiklosRusis,,,,jar _evrk,,,,,Ekonominės veikos rūšis,
,,,,,evrk2,string,,,,3,open,,rūšies kodas,
,,,,,evrk2_pavad,string,,,,3,open,,rūšies pavadinimas,
,,,,,,,,,,,,,,
,,,,Sektorius,,,,jar_sector,,,,,Institucinių sektorių ir subsektorių klasifikatorius,
,,,,,esa2010_sektos,string,,,,3,open,,sektoriaus kodas,
,,,,,esa2010_sektor_pavad,string,,,,3,open,,sektoriaus pavadinimas,
,,,,,,,,,,,,,,
,,,,Institucija,,,,,,,,,Institucija,
,,,,,jar_kodas,string,,,,2,open,,Kodas,
,,,,,ekonomine_veiklos_rusis,ref,EkonominesVeiklosRusis,,,4,open,,Ekonominės veikos rūšis,
,,,,,sektorius,ref,Sektorius,,,4,open,,Sektorius,
