id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/namu_ukio_biudzetas,,,,,,,,,,,,,
,,,,,,enum,bool,,1,,,,Taip,
,,,,,,,,,2,,,,Ne,
,,,,,,,sex,,1,,,,Vyras,
,,,,,,,,,2,,,,Moteris,
,,,,,,,,,,,,,,
,,,,Bustas2008,,,,,,,,,Būstas ir patogumai 2008m.,"Būsto tipas, namų ūkio užimamų kambarių skaičius, būsto plotas, patogumai."
,,,,,hh_ident,integer,,,,,open,,Namų ūkio ID,
,,,,,dwlowner,integer,,,,,open,,Būsto nuosavybė,
,,,,,,enum,,,1,,,,Yra šio būsto savininkas ,
,,,,,,,,,2,,,,"Yra nuomininkas arba subnuomininkas, mokantis nuomą rinkos kaina ",
,,,,,,,,,3,,,,Nuomojasi šį būstą mažesne nei rinkos kaina,
,,,,,,,,,4,,,,Gyvena nemokėdamas nuomos ,
,,,,,loanhous,integer,bool,,,,open,,Ar paimta būsto paskola?,
,,,,,formrent,integer,,,,,open,,Nuomojate butą (namą),
,,,,,,enum,,,1,,,,Su baldais,
,,,,,,,,,2,,,,Be baldų,
,,,,,dwltype,integer,,,,,open,,Gyvenamosios patalpos tipas,
,,,,,,enum,,,1,,,,Atskiras šeimos namas,
,,,,,,,,,2,,,,"Namo dalis, pusiau atskiras namas",
,,,,,,,,,3,,,,Butas daugiabučiame name,
,,,,,,,,,4,,,,Kita,
,,,,,dw_year,integer,,,,,open,,Namo pastatymo metai,
,,,,,,enum,,,1,,,,Iki 1946 m.,
,,,,,,,,,2,,,,1946–1960 m,
,,,,,,,,,3,,,,1961–1980 m.,
,,,,,,,,,4,,,,1981–1995 m.,
,,,,,,,,,5,,,,1996 ir vėliau,
,,,,,dw_other,integer,,,,,open,,Kitas nuosavas būstas,
,,,,,,enum,,,1,,,,"Taip, Lietuvoje",
,,,,,,,,,2,,,,"Taip, užsienyje",
,,,,,,,,,3,,,,Ne ,
,,,,,elect,integer,bool,,,,open,,Elektra,
,,,,,bath,integer,bool,,,,open,,"Vonia, dušas",
,,,,,toilet,integer,bool,,,,open,,Ar turite tualetą su nutekamuoju vandeniu,
,,,,,kitchen,integer,bool,,,,open,,Atskira virtuvė,
,,,,,garage,integer,bool,,,,open,,Garazas,
,,,,,phone,integer,bool,,,,open,,Fiksuoto ryšio telefonas,
