id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/nma,,,,,,,,,,,,Nacionalinė mokėjimų agentūra,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,Deklaracija,,,paraiskos_id,,,4,,,Paramos už žemės ūkio naudmenas ir kitus plotus bei ūkinius gyvūnus paraiškų duomenys,
,,,,,paraiskos_id,string,,,,4,open,,Paraiškos identifikacinis numeris,
,,,,,nma_id,string,,,,4,open,,Nacionalinės mokėjimų agentūros paraiškos numeris,
,,,,,pareiskejas,string,,,,4,open,,Paraišką teikęs asmuo.,Gali būti fizinis arba juridinis asmuo.
,,,,,valdos_numeris,string,,,,4,open,,"Žemės ūkio valdos atpažinties kodas, suteikiamas Lietuvos Respublikos žemės ūkio ir kaimo verslo registre",
,,,,,plotas_ha,number,ha,,,4,open,,Deklaruojamo lauko plotas hektarais.,
,,,,,savivaldybe,string,,,,4,open,,Deklaruojamo lauko savivaldybė,
,,,,,seniunija,string,,,,4,open,,Deklaruojamo lauko seniūnija,
,,,,,kvv_proc,number,%,,,4,open,,Vasarinių kviečių procentas,
,,,,,avi_proc,number,%,,,4,open,,Avižų procentras,
,,,,,gri_proc,number,%,,,4,open,,Grikių procentas,
,,,,,krz_proc,number,%,,,4,open,,Žieminių kvietrugių procentas,
,,,,,kvz_proc,number,%,,,4,open,,Žieminių kviečių procentas,
,,,,,miz_proc,number,%,,,4,open,,Žieminius miežių procentas,
,,,,,rav_proc,number,%,,,4,open,,Vasarinių rapsų procentas,
,,,,,raz_proc,number,%,,,4,open,,Žieminių rapsų procentas,
,,,,,ruz_proc,number,%,,,4,open,,Žieminių rugių procentas,
,,,,,pup_proc,number,%,,,4,open,,Pupų procentas,
,,,,,zir_proc,number,%,,,4,open,,Žirnių procentas,
,,,,,dgp_proc,number,%,,,4,open,,"Daugiametės ganyklos arba pievos, daugiametės žolės (eraičinai, miglės, motiejukai, svidrės, smilgos, pašiaušėliai, avižuolės, šunažolės, visgės, erainčinsvidrės, dryžučiai, dirsuolės ir kt.) procentas",
,,,,,kita_proc,number,%,,,4,open,,Kitų pasėlių procentas,
