id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/socialiniu_mediju_stebesena,,,,,,,,,,,,Socialinių medijų stebėsena,
,,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,vadovas,,,,,https://atviriduomenys.readthedocs.io/,,
,,,,,,,,,,,,,,
,,,,viesojo_sektoriaus_fcb_paskyru_sekejai,,,fcb_url_adresas,,,,,,Viešojo sektoriaus Facebook paskyrų stebėsena,"Lentelėje pateikiami valstybinių institucijų, įstaigų, tarnybų, agentūrų Facebook paskyrų sekėjų skačiaus stebėsenos rezultatai. Stebėsena vykdyta 2022-07-11, atnaujinimo data šiuo metu nenumatyta. Įtrauktos 99 paskyros. Stebėsena yra skirta viešojo sektoriaus bendravimui su visuomene skatinti, taip pat visuomenės informavimui apie šių paskyrų egzistavimą bei naudą.
Pastabos: Ne visos įstaigos turi socialinių medijų paskyras (pvz., Valstybinė lietuvių kalbos komisija). Įstagos gali turėti kelias paskyras (pvz., Lietuvos statistikos departamentas ir Valstybės duomenų analitika). Facebook paskyra gali nepriklausyti vienai konkrečiai įstaigai (pvz., Lietuvos teismai) arba priklausyti nebeegzistuojančiai įstaigai (Valstybinė energetikos inspekcija)."
,,,,,data,date,D,,,4,open,,Data,"Data, kuomet vykdyta paskyrų stebėsena"
,,,,,jar_kodas,string,,,,3,open,,Juridinio asmens kodas,
,,,,,,comment,type,,"update(property: ""ja_kodas"", type: """")",4,open,"spinta:205, manifest:1290",,
,,,,,pavadinimas,string,,,,2,open,,"Valstybinės institucijos, įstaigos, tarnybos, agentūros pavadinimas",
