id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/bvp_grandininiu_susiejimu,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S7R208_M2110207_2,,,vda_id,,,4,,,"BVP išlaidų metodu, palyginamosiomis kainomis (grandininio susiejimo metodu), metinis","Statistinės informacijos aprašymą sudaro bendrasis vidaus produktas (BVP) – vienas iš pagrindinių nacionalinių sąskaitų sistemos (NSS) rodiklių, apibūdinančių šalies ekonomikos išsivystymo lygį. BVP, jo kitimo tempas ir bendrosios nacionalinės pajamos (BNP) plačiai naudojami tarptautiniams palyginimams ir ekonominei analizei atlikti. Klasifikatorių nėra. Statistinio stebėjimo vienetas: nacionalinės sąskaitos apima ekonomiką, kaip visumą, kurią sudaro skirtingi instituciniai vienetai. Statistinę (tiriamąją) visumą sudaro visi statistiniai stebėjimo vienetai rezidentai. Geografinė aprėptis: šalies ekonominė teritorija. Laiko aprėptis: nuo 1995 m. Matavimo vienetas (-ai): BVP palyginamosiomis kainomis – mln. EUR. Ataskaitinis laikotarpis: kalendoriniai metai "
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,islaidu_rusis,string,,,,4,open,,Išlaidų rūšis,
,,,,,islaidu_rusis_id,string,,,,4,open,,Išlaidų rūšis: identifikacinis numeris,
,,,,,islyginimas,string,,,,4,open,,Išlyginimas,
,,,,,islyginimas_id,string,,,,4,open,,Išlyginimas: identifikacinis numeris,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis: identifikacinis numeris,
,,,,,matavimo_vienetai,number,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai: identifikacinis numeris,
,,,,,verte,number,,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinis atnaujinimas,
,,,,,,,,,,,,,,
,,,,S7R208_M2110107_1,,,vda_id,,,4,,,"""BVP išlaidų metodu, palyginamosiomis kainomis (grandininio susiejimo metodu), ketvirtinis""","“Statistinės informacijos aprašymas: bendrasis vidaus produktas (BVP) – vienas iš pagrindinių nacionalinių sąskaitų sistemos (NSS) rodiklių, apibūdinančių šalies ekonomikos išsivystymo lygį. BVP, jo kitimo tempas ir bendrosios nacionalinės pajamos (BNP) plačiai naudojami tarptautiniams palyginimams ir ekonominei analizei atlikti.  Klasifikatorių nėra. Statistinio stebėjimo vienetas: nacionalinės sąskaitos apima ekonomiką, kaip visumą, kurią sudaro skirtingi instituciniai vienetai. Statistinę (tiriamąją) visumą sudaro visi statistiniai stebėjimo vienetai rezidentai.  Geografinė aprėptis - šalies ekonominė teritorija.  Laiko aprėptis nuo 1995 m. Matavimo vienetas (-ai): BVP to meto kainomis – mln. EUR ir indeksai – proc.; Ataskaitinis laikotarpis: kalendorinis ketvirtis """
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,islaidu_rusis,string,,,,4,open,,Išlaidų rūšis,
,,,,,islaidu_rusis_id,string,,,,4,open,,Išlaidų rūšis: identifikacinis numeris,
,,,,,islyginimas,string,,,,4,open,,Išlyginimas,
,,,,,islyginimas_id,string,,,,4,open,,Išlyginimas: identifikacinis numeris,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis: identifikacinis numeris,
,,,,,matavimo_vienetai,number,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai: identifikacinis numeris,
,,,,,verte,number,,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinis atnaujinimas,
