id;dataset;resource;base;model;property;type;ref;source;prepare;level;access;uri;title;description;;;;;
;datasets/gov/lsd/statistika/isvykusiu_vienadieniu_lankytoju_skaicius;;;;;;;;;;;;;;;;;;
;;;;;;prefix;spinta;;;;;https://github.com/atviriduomenys/spinta/issues/;;;;;;;
;;;;;;;manifest;;;;;https://github.com/atviriduomenys/manifest/issues/;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;Rodiklis;S8R712_M4091007_1;;vda_id;;;4;;;Iðvykusiø vienadieniø lankytojø kelioniø skaièius (pagal valstybæ, ketvirtiniai);Duomenø rinkinys apie lietuvos nuolatiniø gyventojø (toliau – gyventojai); keliaujanèiø á uþsiená; skaièiø; jø kelioniø; nakvyniø skaièiø ir tikslus; naudojamà pagrindinæ transporto priemonës rûðá ir apgyvendinimo tipà kelionëje bei kelioniø iðlaidas.
;;;;;vda_id;string;;;;4;open;;Valstybës Duomenø Agentûros áraðo identifikatorius;;;;;;
;;;;;laikotarpis;date;;;;4;open;;Laikotarpis;;;;;;
;;;;;laikotarpis_id;string;;;;4;open;;Laikotarpis identifikacinis numeris; ;;;;;
;;;;;matavimo_vienetai;string;;;;4;open;;Matavimo vienetai;;;;;;
;;;;;matavimo_vienetai_id;string;;;;4;open;;Matavimo vienetai identifikacinis numeris;;;;;;
;;;;;valstybe;string;;;;4;open;;Valstybë;;;;;;
;;;;;valstybe_id;string;;;;4;open;;Valstybë identifikacinis numeris;;;;;;
;;;;;verte;number;;;;4;open;;skaitinë vertë;;;;;;
;;;;;atnaujinta;date;D;;;4;open;;paskutinis atnaujinimas;;;;;;
;;;;Rodiklis;S8R712_M4091107;;vda_id;;;4;;;Iðvykusiø vienadieniø lankytojø kelioniø skaièius (pagal valstybæ, metiniai);; keliaujanèiø á uþsiená; skaièiø; jø kelioniø; nakvyniø skaièiø ir tikslus; naudojamà pagrindinæ transporto priemonës rûðá ir apgyvendinimo tipà kelionëje bei kelioniø iðlaidas.
;;;;;vda_id;string;;;;4;open;;Valstybës Duomenø Agentûros áraðo identifikatorius;;;;;;
;;;;;laikotarpis;date;;;;4;open;;Laikotarpis;;;;;;
;;;;;laikotarpis_id;string;;;;4;open;;Laikotarpis identifikacinis numeris;;;;;;
;;;;;matavimo_vienetai;string;;;;4;open;;Matavimo vienetai; ;;;;;
;;;;;matavimo_vienetai_id;string;;;;4;open;;Matavimo vienetai identifikacinis numeris;;;;;;
;;;;;valstybe;string;;;;4;open;;Valstybë;;;;;;
;;;;;valstybe_id;string;;;;4;open;;Valstybë identifikacinis numeris;;;;;;
;;;;;verte;number;;;;4;open;;skaitinë vertë;;;;;;
;;;;;atnaujinta;date;D;;;4;open;;paskutinis atnaujinimas;;;;;;
;;;;Rodiklis;S8R712_M4091101_1;;vda_id;;;4;;;Iðvykusiø vienadieniø lankytojø kelioniø skaièius (metiniai);Duomenø rinkinys apie Lietuvos nuolatiniø gyventojø (toliau – gyventojai); keliaujanèiø á uþsiená; skaièiø; jø kelioniø; nakvyniø skaièiø ir tikslus; naudojamà pagrindinæ transporto priemonës rûðá ir apgyvendinimo tipà kelionëje bei kelioniø iðlaidas. 
;;;;;vda_id;string;;;;4;open;;Valstybës Duomenø Agentûros áraðo identifikatorius;;;;;;
;;;;;laikotarpis;date;;;;4;open;;Laikotarpis;;;;;;
;;;;;laikotarpis_id;string;;;;4;open;;Laikotarpis identifikacinis numeris;;;;;;
;;;;;matavimo_vienetai;string;;;;4;open;;Matavimo vienetai;;;;;;
;;;;;matavimo_vienetai_id;string;;;;4;open;;Matavimo vienetai identifikacinis numeris;;;;;;
;;;;;verte;number;;;;4;open;;skaitinë vertë;;;;;;
;;;;;atnaujinta;date;D;;;4;open;;paskutinis atnaujinimas;;;;;;
;;;;Rodiklis;S8R712_M4091001_1;;vda_id;;;4;;;Iðvykusiø vienadieniø lankytojø kelioniø skaièius (ketvirtiniai);Duomenø rinkinys apie Lietuvos nuolatiniø gyventojø (toliau – gyventojai); keliaujanèiø á uþsiená; skaièiø; jø kelioniø; nakvyniø skaièiø ir tikslus; naudojamà pagrindinæ transporto priemonës rûðá ir apgyvendinimo tipà kelionëje bei kelioniø iðlaidas. 
;;;;;vda_id;string;;;;4;open;;Valstybës Duomenø Agentûros áraðo identifikatorius;;;;;;
;;;;;laikotarpis;date;;;;4;open;;Laikotarpis;;;;;;
;;;;;laikotarpis_id;string;;;;4;open;;Laikotarpis identifikacinis numeris;;;;;;
;;;;;matavimo_vienetai;string;;;;4;open;;Matavimo vienetai;;;;;;
;;;;;matavimo_vienetai_id;string;;;;4;open;;Matavimo vienetai identifikacinis numeris;;;;;;
;;;;;verte;number;;;;4;open;;skaitinë vertë;;;;;;
;;;;;atnaujinta;date;D;;;4;open;;paskutinis atnaujinimas;;;;;;
