id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/mazo_darbo_intensyvumo_asmenys,,,,,,,,,,,,Labai mažo darbo intensyvumo namų ūkiuose gyvenantys asmenys,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S3R0470_M3080357,,,vda_id,,,4,,,Labai mažo darbo intensyvumo namų ūkiuose gyvenantys asmenys (pagal amžių ir lytį),"Lietuvos privačių namų ūkių, kuriuose visų darbingo amžiaus asmenų dirbto laiko suma neviršija 20 proc. galimo dirbti viso darbo laiko, dalis pagal amžių ir lytį."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,amzius,string,,,,4,open,,Amžius,
,,,,,amzius_id,string,,,,4,open,,Amžiaus identifikatorius,
,,,,,laikotarpis,date,Y,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpio identifikatorius,
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,lytis_id,string,,,,4,open,,Lyties identifikatorius,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetų identifikatorius,
,,,,,verte,number,%,,,4,open,,Skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinio atnaujinimo data,
,,,,,,,,,,,,,,
,,,,S3R0470_M3080375,,,vda_id,,,4,,,Labai mažo darbo intensyvumo namų ūkiuose gyvenantys asmenys (pagal pajamų kvantilines grupes),"Lietuvos privačių namų ūkių, kuriuose visų darbingo amžiaus asmenų dirbto laiko suma neviršija 20 proc. galimo dirbti viso darbo laiko, dalis pagal pajamų kvantilines grupes."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,laikotarpis,date,Y,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpio identifikatorius,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetų identifikatorius,
