id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/metinis_nedarbo_lygis,,,,,,,,,,,,Metinis nedarbo lygis,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S3R347_M3030901_1,,,vda_id,,,4,,,"Metinis nedarbo lygis (pagal amžiaus grupes, lytį ir gyvenamąją vietovę)","Metinė visų nuolatinių Lietuvos gyventojų statistinė informacija apie bedarbių ir ekonomiškai neaktyvių gyventojų skaičių, jų pasiskirstymą pagal amžiaus grupes, lytį, gyvenamąją vietą nuo 1998 metų. Rodiklis išreiškiamas bedarbių ir darbo jėgos santykiu. Naudojami LR Administracinių vienetų ir gyvenamųjų vietovių klasifikatorius (LR AVGVK 2018) ir Bendras teritorinių statistinių vienetų klasifikatorius (NUTS)."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,amzius_tikslines_amziaus_grupes,string,,,,4,open,,Amžiau grupė,
,,,,,amzius_tikslines_amziaus_grupes_id,string,,,,4,open,,Amžiaus grupės identifikatorius,
,,,,,gyvenamoji_vietove,string,,,,4,open,,Gyvenamoji vietovė,
,,,,,gyvenamoji_vietove_id,string,,,,4,open,,Gyvenamosios vietovės identifikatorius,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpio identifikatorius,
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,lytis_id,string,,,,4,open,,Lyties identifikatorius,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetų identifikatorius,
,,,,,verte,number,%,,,4,open,,Nedarbo lygis,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinio atnaujinimo data,
,,,,,,,,,,,,,,
,,,,S3R347_M3030903,,,vda_id,,,4,,,Metinis nedarbo lygis (pagal lytį ir regionus),"Metinė visų nuolatinių Lietuvos gyventojų statistinė informacija apie bedarbių ir ekonomiškai neaktyvių gyventojų skaičių, jų pasiskirstymą pagal regioną, lytį ir amžių išskiriant jaunuolių grupę (15-24 metai) nuo 1998 metų. Rodiklis išreiškiamas bedarbių ir darbo jėgos santykiu. Naudojami LR Administracinių vienetų ir gyvenamųjų vietovių klasifikatorius (LR AVGVK 2018) ir Bendras teritorinių statistinių vienetų klasifikatorius (NUTS)."
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,amzius_15_24_ir_vyresni,string,,,,4,open,,Amžius (15–24 ir vyresni),
,,,,,amzius_15_24_ir_vyresni_id,string,,,,4,open,,Amžiaus identifikatorius,
,,,,,teritorija,string,,,,4,open,,Teritorijos pavadinimas,
,,,,,teritorija_id,string,,,,4,open,,Teritorijos identifiktorius,
,,,,,teritorija_tipas,string,,,,4,open,,Teritorijos tipas,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpio identifikatorius,
,,,,,lytis,string,,,,4,open,,Lytis,
,,,,,lytis_id,string,,,,4,open,,Lyties identifikatorius,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetų identifikatorius,
,,,,,verte,number,%,,,4,open,,Nedarbo lygis,
,,,,,atnaujinta,date,D,,,4,open,,Paskutinio atnaujinimo data,
