id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/lsd/statistika/nakvyniu_skaicius,,,,,,,,,,,,Nakvynių skaičius apgyvendinimo įstaigose,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,S8R864_M4090304_3,,,vda_id,,,4,,,Nakvynių skaičius apgyvendinimo įstaigose (pagal apgyvendinimo tipą, šalį ir geografinę vietovę ir administracinę teritoriją, metiniai),Duomenų rinkinys apie apgyvendinimo paslaugų tiekėjų skaičių pagal apgyvendinimo tipus numerių ir vietų skaičių jų užimtumą apgyvendintų turistų ir jų nakvynių skaičių pagal atvykusių turistų gyvenamąją šalį. Pateikta pagal apgyvendinimo tipo šalie ir geografinės vietovės ir administracinės teritorijos dimensijas.
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,administracine_teritorija,string,,,,4,open,,Administracinė teritorija, 
,,,,,administracine_teritorija_id,string,,,,4,open,,Administracinė teritorija identifikacinis numeris,
,,,,,apgyvendinimo_tipas,string,,,,4,open,,Apgyvendinimo tipas,
,,,,,apgyvendinimo_tipas_id,string,,,,4,open,,Apgyvendinimo tipas identifikacinis numeris,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai identifikacinis numeris,
,,,,,salys_ir_geografines_vietoves,string,,,,4,open,,Šalys ir geografinės vietovės,
,,,,,salys_ir_geografines_vietoves_id,string,,,,4,open,,Šalys ir geografinės vietovės identifikacinis numeris,
,,,,,verte,number,,,,4,open,,skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,paskutinis atnaujinimas,
,,,,S8R864_M4090308_5,,,vda_id,,,4,,,Nakvynių skaičius apgyvendinimo įstaigose (pagal viešbučio kategorija, metiniai),Duomenų rinkinys apie apgyvendinimo paslaugų tiekėjų skaičių pagal apgyvendinimo tipus numerių ir vietų skaičių jų užimtumą apgyvendintų turistų ir jų nakvynių skaičių pagal atvykusių turistų gyvenamąją šalį. Pateikta pagal apgyvendinimo tipo šalie ir geografinės vietovės ir administracinės teritorijos dimensijas.
,,,,,vda_id,string,,,,4,open,,Valstybės Duomenų Agentūros įrašo identifikatorius,
,,,,,laikotarpis,date,D,,,4,open,,Laikotarpis,
,,,,,laikotarpis_id,string,,,,4,open,,Laikotarpis identifikacinis numeris,
,,,,,matavimo_vienetai,string,,,,4,open,,Matavimo vienetai,
,,,,,matavimo_vienetai_id,string,,,,4,open,,Matavimo vienetai identifikacinis numeris,
,,,,,viesbucio_kategorija,string,,,,4,open,,Viešbučio kategorija,
,,,,,viesbucio_kategorija_id,string,,,,4,open,,Viešbučio kategorija identifikacinis numeris,
,,,,,verte,number,,,,4,open,,skaitinė vertė,
,,,,,atnaujinta,date,D,,,4,open,,paskutinis atnaujinimas,
